,company_name,company_location,company_country
3585,HARJU ELEKTER AS,Paldiski mnt 31,ESTONIA
3586,PLANDAY INC,12130 MILLENNIUM DR,UNITED STATES
3587,SONY DADC UK LIMITED,Southwater Business Park Worthing Road Southwater,UNITED KINGDOM
3588,ILLVA SARONNO HOLDING SPA,VIA ARCHIMEDE 243,ITALY
3589,SKYPE TECHNOLOGIES OU,Akadeemia tee 15b,ESTONIA
3590,CZ-USA,3341 N 7TH ST TRFY,UNITED STATES
3591,SONY INTERACTIVE ENTERTAINMENT EUROPE LIMITED,10 Great Marlborough Street,UNITED KINGDOM
3592,ILLVA SARONNO SPA,VIA ARCHIMEDE 243,ITALY
3593,THERMORY AS,Peterburi tee 44/2,ESTONIA
3594,STANDARD CHARTERED INTERNATIONAL (USA) LTD.,1095 AVE OF THE AMERICAS,UNITED STATES
3595,SONY CORPORATE SERVICES EUROPE LIMITED,"Sony B M G Music Entertainment (uk) Ltd, Bedford House",UNITED KINGDOM
3596,BCS AUTOMOTIVE INTERFACE SOLUTIONS ITALY SRL,VIA MIRAFLORES 20,ITALY
3597,TECHNOMAR & ADREM AS,Vana-Narva mnt 22,ESTONIA
3598,DONNELLY MECHANICAL CORP.,96-59 222ND ST,UNITED STATES
3599,TATA TECHNOLOGIES EUROPE LIMITED,European Innovation & Development Center Olympus Avenuetachbrook Park,UNITED KINGDOM
3600,MOTORK ITALIA SRL,VIA LUDOVICO D'ARAGONA 9,ITALY
3601,FRIENDLY FINANCE OU,Rotermanni tn 2,ESTONIA
3602,"SYSTECON, LLC",6121 SCHUMACHER PARK DR,UNITED STATES
3603,SONY EUROPE B.V.,THE HEIGHTS BROOKLANDS,UNITED KINGDOM
3604,FIMER SPA,VIA JOHN FITZGERALD KENNEDY 26,ITALY
3605,NORDIC CONTRACTORS AS,Liivalaia tn 13,ESTONIA
3606,DUNAVANT HOLDING INC,959 RIDGEWAY LP RD STE 200,UNITED STATES
3607,NORBROOK LABORATORIES LIMITED,Station Works Camlough Road,UNITED KINGDOM
3608,AEC UNDERWRITING AGENZIA DI ASSICURAZIONE E RIASSICURAZIONE SPA,PIAZZA DELLE MUSE 7,ITALY
3609,HERO CAPITAL OU,Narva mnt 5-80,ESTONIA
3610,"DUNAVANT DISTRIBUTION GROUP, L.L.C.",10629 RED BLUFF RD,UNITED STATES
3611,NORBROOK LABORATORIES (G.B.) LIMITED,Unit 1 Saxon Way East,UNITED KINGDOM
3612,FCA ITALY S.P.A. IN FORMA FIAT CHRYSLER AUTOMOBILES E IN FORMA ABBREVIATO FIAT GROUP AUTOMOBILES SP,CORSO GIOVANNI AGNELLI 200,ITALY
3613,BALTIC INTERNATIONAL TRADING OU,Tartu mnt 25,ESTONIA
3614,WALT DISNEY MUSIC COMPANY,500 S BUENA VISTA,UNITED STATES
3615,HOZELOCK LIMITED,Midpoint Park Kingsbury Road Minworth,UNITED KINGDOM
3616,ENGIE ITALIA SPA,VIALE FULVIO TESTI 280,ITALY
3617,E-ADVISORS OU,Parnu mnt 158/2,ESTONIA
3618,"WALT DISNEY IMAGINEERING RESEARCH & DEVELOPMENT, INC.",1401 FLOWER ST,UNITED STATES
3619,HOZELOCK GROUP LIMITED,Midpoint Park Kingsbury Road,UNITED KINGDOM
3620,SUEZ WTS ITALY SRL,VIA BROLETTO 46,ITALY
3621,ADVENDOR NETWORK OU,Tartu mnt 43,ESTONIA
3622,DISNEY INCORPORATED,500 S BUENA VISTA ST,UNITED STATES
3623,MESH DIGITAL LIMITED,The Old Forge Shackstead Lane,UNITED KINGDOM
3624,UNIVERSITA' POLITECNICA DELLE MARCHE,PIAZZA ROMA 22,ITALY
3625,BTCWHALE OU,Maakri tn 21,ESTONIA
3626,"WALT DISNEY COMPANY, THE",500 S BUENA VISTA ST,UNITED STATES
3627,IP GROUP PLC,"2nd Floor, 3 Pancras Square Kings Cross",UNITED KINGDOM
3628,LABWARE SPA,VIA ENZO FERRARI 3,ITALY
3629,COCA-COLA HBC EESTI AS,Mustamae tee 16,ESTONIA
3630,"BOABAB INVESTMENTS, LLC",205 S BEVERLY DR STE 205 # 205,UNITED STATES
3631,COSTER AEROSOLS LIMITED,8 Lindrick Way Barlborough,UNITED KINGDOM
3632,KAAK OVENS & PROOFERS SRL,VIA ENRICO FERMI 6/8,ITALY
3633,TAVID AS,Aia tn 5,ESTONIA
3634,"HOBSONS, INC.",400 E BUSINESS WAY STE 400,UNITED STATES
3635,TWOFOUR BROADCAST LIMITED,3 Bush Park,UNITED KINGDOM
3636,P.A.D. SRL,VIA GRAZIA CHERCHI SNC,ITALY
3637,BPEF III SUPPLEMENTARY INVESTMENT FACILITY USALDUSFOND,Tartu mnt 2,ESTONIA
3638,STARK AEROSPACE INC.,319 CHARLEIGH D FORD JR DR,UNITED STATES
3639,PS MANOR FARM SOLAR LIMITED,"C/O FORESIGHT GROUP LLP The Shard, 32 London Bridge Street",UNITED KINGDOM
3640,CARCO SRL,VIA UGO FOSCOLO 4,ITALY
3641,FUNDERBEAM MARKETS OU,Ahtri tn 6a,ESTONIA
3642,VERTEX AEROSPACE LLC,555 INDUSTRIAL DR S,UNITED STATES
3643,MANOR FARM (SOLAR POWER) LTD,7TH FLOOR 33 HOLBORN,UNITED KINGDOM
3644,ZUCKIDS SRL,VIA LEGNANO 24,ITALY
3645,JOHNSON & JOHNSON AB EESTI FILIAAL,Lootsa tn 2a,ESTONIA
3646,NORTHERN ILLINOIS GAS COMPANY,1844 FERRY RD,UNITED STATES
3647,MANOR FARM SOLAR LIMITED,BEAUFORT COURT EGG FARM LANE OFF STATION ROAD,UNITED KINGDOM
3648,ITALIANA PETROLI SPA,VIA SALARIA 1322,ITALY
3649,RAIL BALTIC ESTONIA OU,Endla tn 16,ESTONIA
3650,"FRANKLIN TEMPLETON COMPANIES, LLC",ONE FRANKLIN PKWY BLD 970 1ST FL,UNITED STATES
3651,UNITED BISCUITS (UK) LIMITED,"BUILDING 3 CHISWICK PARK 566 CHISWICK HIGH ROAD, CHISWICK",UNITED KINGDOM
3652,KUWAIT PETROLEUM ITALIA SPA,VIALE DELL'OCEANO INDIANO 13,ITALY
3653,BALMERK ESTONIA OU,Lootsa tn 8a,ESTONIA
3654,GHIRARDELLI CHOCOLATE CO,1111 139TH AVE,UNITED STATES
3655,BOOKING.COM TRANSPORT LIMITED,100 NEW BRIDGE STREET,UNITED KINGDOM
3656,ADVICE TECHNOLOGY PETROLEUM SRL,VIA GIORGIO PERLASCA 20/C 13,ITALY
3657,BALMERK DISTRIBUTION OU,Lootsa tn 8a,ESTONIA
3658,MYLAN INC.,1000 MYLAN BLVD,UNITED STATES
3659,UML BONDI LIMITED,Portland House 69-71 Wembley Hill Road,UNITED KINGDOM
3660,GRUPPO TORINESE TRASPORTI SPA,CORSO FILIPPO TURATI 19/6,ITALY
3661,FEB AS,Forelli tn 4,ESTONIA
3662,VIATRIS INC.,1000 MYLAN BLVD,UNITED STATES
3663,CRANFIELD UNIVERSITY,College Road Cranfield,UNITED KINGDOM
3664,GTT COMMUNICATIONS SRL,PIAZZA GIOVANNI AMENDOLA 1,ITALY
3665,SANTA MONICA NETWORKS AS,Lootsa tn 8,ESTONIA
3666,APG ASSET MANAGEMENT US INC.,666 3RD AVE,UNITED STATES
3667,RED BULL TECHNOLOGY LIMITED,"Building 1 Bradbourne Drive, Tilbrook",UNITED KINGDOM
3668,GTT ITALY SRL,VIA CORNELIA 498,ITALY
3669,PERNOD RICARD ESTONIA OU,Parnu mnt 160e,ESTONIA
3670,"ABM INDUSTRY GROUPS, LLC",14141 SOUTHWEST FWY STE 477,UNITED STATES
3671,BELL TRUCK SALES LIMITED,Bellway Industrial Estate Whitley Road Longbenton,UNITED KINGDOM
3672,GTT COMMUNICATIONS ITALY SRL,VIA CORNELIA 498,ITALY
3673,MAGNUM LOGISTICS OU,Vae tn 16,ESTONIA
3674,MARLIN BUSINESS SERVICES CORP.,300 FELLOWSHIP RD,UNITED STATES
3675,ODFJELL TECHNOLOGY (UK) LTD.,"Bergen House Crawpeel Road, Altens Industrial Estate",UNITED KINGDOM
3676,JOHNSON CONTROLS ITALIA SRL,VIA MILANESE 124,ITALY
3677,THREOD SYSTEMS OU,"Kaare tee 3, Lubja kula",ESTONIA
3678,"GREENBRIER COMPANIES, INC., THE",1 CENTERPOINTE DR STE 200,UNITED STATES
3679,ELSEVIER LIMITED,Langford Lane The Boulevard,UNITED KINGDOM
3680,JOHNSON MATTHEY ITALIA SRL,CORSO TRAPANI 16,ITALY
3681,SYMANTEC ESTONIA OU,Aiandi tn 13,ESTONIA
3682,PAYONEER INC.,150 W 30TH ST STE 500,UNITED STATES
3683,RELX PLC,Grand Buildings 1-3 Strand,UNITED KINGDOM
3684,NAMIRIAL SPA,VIA CADUTI SUL LAVORO 4,ITALY
3685,CREDITINFO EESTI AS,Narva mnt 5,ESTONIA
3686,"APTIV SERVICES US, LLC",5725 INNOVATION DR,UNITED STATES
3687,RELX (UK) LIMITED,Tolley House 2 Addiscombe Road,UNITED KINGDOM
3688,MARCEGAGLIA PLATES SPA,VIA BRESCIANI 16,ITALY
3689,KRM ADVISOR OU,Roosikrantsi tn 2-KRM,ESTONIA
3690,"AZUGA, INC.",42840 CHRISTY ST STE 205,UNITED STATES
3691,RELX (HOLDINGS) LIMITED,Grand Buildings 1-3 Strand,UNITED KINGDOM
3692,PALLETWAYS ITALIA SPA,VIA PRADAZZO 7,ITALY
3693,FIESTA REAL ESTATE AS,Tartu mnt 13,ESTONIA
3694,"1-800-FLOWERS.COM, INC.",2 JERICHO PLZ STE 200,UNITED STATES
3695,WOMAD LIMITED,"Mill La, Box",UNITED KINGDOM
3696,C.O.I.M. SPA - CHIMICA ORGANICA INDUSTRIALE MILANESE,VIA DELLE AZALEE 19,ITALY
3697,LPD OU,Punane tn 73,ESTONIA
3698,KINETIK HOLDINGS INC.,2700 POST OAK BLVD STE 300,UNITED STATES
3699,VIBRANT BRANDS LIMITED,East End House Kenrick Way,UNITED KINGDOM
3700,MECOMER SRL,VIA DEL TECCHIONE 46,ITALY
3701,HESTIA HOTEL GROUP OU,Paadi tn 5,ESTONIA
3702,FEDERATED INVESTMENT MANAGEMENT COMPANY,1001 LIBERTY AVE,UNITED STATES
3703,Saga Shipholding (IOM) Limited,"2nd Floor 60circular Rd, Douglas",UNITED KINGDOM
3704,SAVIOLA HOLDING SRL,VIALE LOMBARDIA 29,ITALY
3705,KARATCHANGE OU,Roosikrantsi tn 2-647K,ESTONIA
3706,"FEDERATED HERMES, INC.",1001 LIBERTY AVE,UNITED STATES
3707,WOOD GROUP ENGINEERING & OPERATIONS SUPPORT LIMITED,Sir Ian Wood House Hareness Road,UNITED KINGDOM
3708,RIMAX TECHNOLOGY SRL,VIA FRATELLI DI DIO 1,ITALY
3709,GREINER PACKAGING AS,"Tammi tee 42, Rannamoisa kula",ESTONIA
3710,FEDERATED INVESTMENT COUNSELING,FEDERATED INVESTORS TOWER,UNITED STATES
3711,J.C.B. SERVICE,LAKESIDE WORKS ROCESTER,UNITED KINGDOM
3712,STUDIO BOOST SRL,VIA NAZIONALE 110/6,ITALY
3713,KRM AGENT OU,Roosikrantsi tn 2-KRM2,ESTONIA
3714,"STEIN ROE INVESTMENT COUNSEL, INC.",181 W MADISON ST STE 3600,UNITED STATES
3715,JCB FINANCE LTD,"The Mill High Street, Rocester",UNITED KINGDOM
3716,ELIFRIULIA SPA,PIAZZETTA LUIGI COLOATTO 1,ITALY
3717,ALEXELA ENERGIA AS,Roseni tn 11,ESTONIA
3718,"DYNETICS, INC.",1002 EXPLORER BLVD,UNITED STATES
3719,SHELL U.K. LIMITED,SHELL CENTRE,UNITED KINGDOM
3720,A. MENARINI DIAGNOSTICS SRL,VIA LUNGO L'EMA 7,ITALY
3721,TRIGON CAPITAL AS,Parnu mnt 18,ESTONIA
3722,"ATLAS AIR, INC.",2000 WESTCHESTER AVE,UNITED STATES
3723,LIGHTSOURCE SIMBA LIMITED,7th Floor 33 Holborn,UNITED KINGDOM
3724,SIDEL SPA,VIA LA SPEZIA 241/A,ITALY
3725,MATCHIT OU,Roseni tn 13,ESTONIA
3726,"BLOCK, INC.",1455 MARKET ST STE 600,UNITED STATES
3727,LEGALZOOM INTERNATIONAL HOLDINGS LTD,20 St. Thomas Street,UNITED KINGDOM
3728,EVP II CAVALLINO SRL,VIA FABIO FILZI 25/A,ITALY
3729,SL34 OU,Kakumae tee 37,ESTONIA
3730,NETCRACKER TECHNOLOGY CORPORATION,95 SAWYER RD UNIVERSITY OFFICE PARK III,UNITED STATES
3731,LIVERPOOL FOOTBALL CLUB LIMITED,Anfield Road,UNITED KINGDOM
3732,FERRERO SPA,PIAZZALE PIETRO FERRERO 1,ITALY
3733,KAWE PUIT OU,Parnu mnt 15,ESTONIA
3734,"CK FRANCHISING, INC.",1 PARK PLZ STE 300,UNITED STATES
3735,RUBIX U.K. LIMITED,DAKOTA HOUSE CONCORD BUSINESS PARK,UNITED KINGDOM
3736,CA INDOSUEZ WEALTH (ITALY) SPA IN FORMA ABBREVIATO CA INDOSUEZ WEALTH (ITALY),PIAZZA CONTE CAMILLO BENSO DI CAVOUR 2,ITALY
3737,ERICSSON EESTI AS,Valukoja tn 8,ESTONIA
3738,"PS HOLDCO, LLC",1810 AVE C,UNITED STATES
3739,RUBIX INTERNATIONAL LIMITED,Accurist House 44 Baker Street,UNITED KINGDOM
3740,CA INDOSUEZ FIDUCIARIA SPA,PIAZZA CONTE CAMILLO BENSO DI CAVOUR 2,ITALY
3741,ENEFIT ENERGIATOOTMINE AS,"Keskterritooriumi, Auvere kula",ESTONIA
3742,BLOCK USA,715 TWITCHELL RD,UNITED STATES
3743,RUBIX GROUP INTERNATIONAL LIMITED,Accurist House 44 Baker Street,UNITED KINGDOM
3744,CA INDOSUEZ WEALTH EUROPE,PIAZZA CAVOUR 2,ITALY
3745,SWETRAK AS,"Ehitusbetooni, Roodevalja kula",ESTONIA
3746,"AURORA CAPITAL PARTNERS, L.P.",11611 SAN VICENTE BLVD STE 800,UNITED STATES
3747,VIRTUS (DATA CENTRES) LTD,4TH FLOOR 20 BALDERTON STREET,UNITED KINGDOM
3748,HRA PHARMA ITALIA SRL,VIA GIORGIONE 59/63,ITALY
3749,ETRA BALTI AS,Peterburi tee 101a,ESTONIA
3750,"KALLIDUS, INC.","555 MISSION ST., SUITE 1950",UNITED STATES
3751,LOMBARD ODIER ASSET MANAGEMENT (EUROPE) LIMITED,Queensberry House 3 Old Burlington Street,UNITED KINGDOM
3752,ADVANZ PHARMA ITALIA SRL,VIA CALDERA 21,ITALY
3753,LEVIRA AS,Kloostrimetsa tee 58a,ESTONIA
3754,"WILLIAM MORRIS ENDEAVOR ENTERTAINMENT, LLC",9601 WILSHIRE BLVD,UNITED STATES
3755,QUILTER INTERNATIONAL HOLDINGS LIMITED,King Edward Bay House King Edward Road Onchan,UNITED KINGDOM
3756,ADVANZ PHARMA SPECIALTY MEDICINE ITALIA SRL,VIA GIOSUE' CARDUCCI 24,ITALY
3757,PHARAON HOLDING OU,Kai tn 1,ESTONIA
3758,"WME IMG, LLC",9601 WILSHIRE BLVD,UNITED STATES
3759,INEOS LIMITED,"FIRST NAMES HOUSE VICTORIA ROAD, DOUGLAS",UNITED KINGDOM
3760,SIT SPA,VIALE ALESSANDRO VOLTA 2,ITALY
3761,MARISTECH OU,Kai tn 1,ESTONIA
3762,LUCASFILM LTD. LLC,1110 GORGAS AVE BLDG C HR,UNITED STATES
3763,GF FINANCIAL MARKETS (UK) LIMITED,Milbank House 1 Finsbury Square,UNITED KINGDOM
3764,AEFFE SPA,VIA DELLE QUERCE 51,ITALY
3765,DSV TRANSPORT AS,"Parnu mnt 535, Jalgimae kula",ESTONIA
3766,LUCASFILM ENTERTAINMENT COMPANY LTD. LLC,1110 GORGAS AVE,UNITED STATES
3767,"SUMITOMO MITSUI TRUST BANK, LIMITED",155 Bishopsgate,UNITED KINGDOM
3768,MOSCHINO SPA,VIA DELLE QUERCE 51,ITALY
3769,"DUVALTEX (US), INC.",9 OAK ST,UNITED STATES
3770,MITSUI & CO. EUROPE PLC,9Th Floor 1 St. Martin's Le Grand,UNITED KINGDOM
3771,IN & OUT SPA,VIALE DONATO BRAMANTE 29,ITALY
3772,SONY CORPORATION OF AMERICA,25 MADISON AVE FL 27,UNITED STATES
3773,SMBC BANK INTERNATIONAL PLC,100 LIVERPOOL STREET,UNITED KINGDOM
3774,OUT IN SPA,VIA GALVANI 1,ITALY
3775,"DYNEGY NORTH AMERICA, INC.",1990 POST OAK BLVD STE 1900,UNITED STATES
3776,"MITSUI O.S.K. LINES, LIMITED",3 Thomas More Square,UNITED KINGDOM
3777,GOVERNO DELLA REPUBBLICA ITALIANA,PIAZZA COLONNA 370,ITALY
3778,ENGIE RESOURCES LLC,1360 POST OAK BLVD STE 400,UNITED STATES
3779,MITSUI & COMPANY LIMITED,8Th And 9Th Floors 1 St. Martin's Le Grand,UNITED KINGDOM
3780,LORO PIANA SPA,CORSO PIETRO ROLANDI 10,ITALY
3781,"AIRBUS HELICOPTERS, INC.",2701 N FORUM DR,UNITED STATES
3782,MITSUI BUSSAN COMMODITIES LTD,6Th Floor 1 St. Martin's Le Grand,UNITED KINGDOM
3783,SACE BT SPA,PIAZZA POLI 42,ITALY
3784,"CYNOSURE, LLC",5 CARLISLE RD,UNITED STATES
3785,JONES LANG LASALLE LIMITED,22 College Approach,UNITED KINGDOM
3786,MODECOR ITALIANA SRL,VIA GINO MAGGI 2,ITALY
3787,"GADSDEN REGIONAL MEDICAL CENTER, LLC",1007 GOODYEAR AVE,UNITED STATES
3788,JONES LANG LASALLE EUROPE LIMITED,30 Warwick Street,UNITED KINGDOM
3789,FERRARI - SOCIETA'PER AZIONI ESERCIZIO FABBRICHE AUTOMOBILI E CORSE,VIA ABETONE INFERIORE 2,ITALY
3790,"INTERPUBLIC GROUP OF COMPANIES, INC., THE",909 3RD AVE,UNITED STATES
3791,JONES LANG LASALLE SERVICES LIMITED,30 Warwick Street,UNITED KINGDOM
3792,DIRICKX ITALIA SRL,VIA ISIDORO E LEPIDO FACII 4,ITALY
3793,"R/GA MEDIA GROUP, INC.",450 W 33RD ST 12TH FL,UNITED STATES
3794,THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2 Savoy Place,UNITED KINGDOM
3795,RADAR CONCERTI SRL,VIA TEODOSIO 65,ITALY
3796,DEUTSCH INC.,387 PARK AVE S FL 10,UNITED STATES
3797,VOLANTE GLOBAL LIMITED,30 St. Mary Axe,UNITED KINGDOM
3798,ERA SRL,VIA FERNANDO SANTI 15-15/A,ITALY
3799,NEVADA POWER COMPANY,6226 W SAHARA AVE,UNITED STATES
3800,AB AGRI LIMITED,64 Innovation Way Lynch Wood Lynch Wood,UNITED KINGDOM
3801,TENABLE NETWORK SECURITY NETHERLANDS B.V.,VIA LUDOVISI 16,ITALY
3802,FACTSET RESEARCH SYSTEMS INC.,45 GLOVER AVE,UNITED STATES
3803,NATWEST MARKETS N.V.,280 Bishopsgate,UNITED KINGDOM
3804,ABET SPA,VIALE INDUSTRIA 19,ITALY
3805,BITRODE CORPORATION,9787 GREEN PARK INDUSTRIAL DR,UNITED STATES
3806,RB UK COMMERCIAL LIMITED,103-105 Bath Road,UNITED KINGDOM
3807,TOWER SPA,VIA DELL'OREFICERIA 32,ITALY
3808,"EBSCO INDUSTRIES, INC.",5724 HWY 280 EAST,UNITED STATES
3809,ABELLIO EAST ANGLIA LIMITED,"2nd Floor St Andrews House, 18-20 St. Andrew Street",UNITED KINGDOM
3810,PFCH LUXE ITALIA SRL,VIA CERESIO 7,ITALY
3811,"HPD, LLC",23563 W MAIN ST RTE 126,UNITED STATES
3812,ABELLIO EAST MIDLANDS LIMITED,2nd Floor St Andrew's House 18-20 St Andrew Street,UNITED KINGDOM
3813,COMPAGNIA AEREA ITALIANA SPA,VIALE LIEGI 41,ITALY
3814,BRUNSWICK GROUP LLP,245 PARK AVE FL 14,UNITED STATES
3815,DB CARGO (UK) HOLDINGS LIMITED,310 Goswell Road,UNITED KINGDOM
3816,ALITALIA SOCIETA' AEREA ITALIANA SPA,PIAZZA ALMERICO DA SCHIO 3,ITALY
3817,"NIPPON STEEL TRADING AMERICAS, INC.",200 N MARTINGALE RD STE 801,UNITED STATES
3818,AZELIS UK LIMITED,"AXIS HOUSE TUDOR ROAD, MANOR PARK",UNITED KINGDOM
3819,RIGONI DI ASIAGO SRL,VIA GUGLIELMO OBERDAN 28,ITALY
3820,CULTECH INC.,3500 HADLEY RD,UNITED STATES
3821,DOLFIN FINANCIAL (UK) LTD,C/O Evelyn Partners LLP 45 Gresham Street,UNITED KINGDOM
3822,RIGONI SRL,VIA BRENNERO 15,ITALY
3823,"COMPLEXCARE SOLUTIONS, LLC",55 BROAD ST FL 21,UNITED STATES
3824,INEOS ACETYLS UK LIMITED,Hawkslease Chapel Lane,UNITED KINGDOM
3825,TOI TOI ITALIA SRL,VIA CASCINA NUOVA 1,ITALY
3826,ASPENTECH CORPORATION,20 CROSBY DR,UNITED STATES
3827,LCH LIMITED,10 PATERNOSTER SQUARE,UNITED KINGDOM
3828,OPIS SRL,VIA GIACOMO MATTEOTTI 10,ITALY
3829,VERILY LIFE SCIENCES LLC,269 E GRAND AVE,UNITED STATES
3830,ABN AMRO CLEARING LONDON LIMITED,5 Aldermanbury Square,UNITED KINGDOM
3831,CF ASSICURAZIONI SPA COMPAGNIA DI ASSICURAZIONE PER IL CREDITO E LA FAMIGLIA,VIA PAOLO DI DONO 73,ITALY
3832,"CEC EDUCATIONAL SERVICES, LLC",231 N MARTINGALE RD STE 100,UNITED STATES
3833,SHELL INTERNATIONAL PETROLEUM COMPANY LIMITED,Shell Centre York Road,UNITED KINGDOM
3834,TOMATIS LAMIERE SRL,VIA MATTEO CAMPIA 46,ITALY
3835,"GODADDY.COM, LLC",2150 E WARNER RD,UNITED STATES
3836,CROWN PACKAGING MANUFACTURING UK LIMITED,Borland Avenue,UNITED KINGDOM
3837,SOCIETA' ITALIANA COLORANTI NATURALI AFFINI SRL,VICOLO MADONNA 9,ITALY
3838,GODADDY INC.,2155 E GODADDY WAY,UNITED STATES
3839,CROWN HOLDINGS LIMITED,The Maltings Norton Heath,UNITED KINGDOM
3840,INTESA SANPAOLO SPA,VIA MONTE DI PIETA' 8,ITALY
3841,GODADDY MSH INC.,14455 N HAYDEN RD,UNITED STATES
3842,ECOATM INTERNATIONAL LIMITED,5A Frascati Way,UNITED KINGDOM
3843,ARISTON SPA,VIALE ARISTIDE MERLONI 45,ITALY
3844,"DELAWARE CAPITAL HOLDINGS, INC.",501 SILVERSIDE RD STE 5,UNITED STATES
3845,A-PLAN HOLDINGS,2 Des Roches Square,UNITED KINGDOM
3846,INDUSTRIES SPA,VIA VENEZIA 1,ITALY
3847,"ASHLY AUDIO, INC.",847 HOLT RD,UNITED STATES
3848,TESCO PLC,TESCO HOUSE SHIRE PARK KESTREL WAY,UNITED KINGDOM
3849,MULTIMARINE SERVICES SRL IN FORMA ABBREVIATO MMS SRL,CORSO CONCORDIA 11,ITALY
3850,GENPACT PROCESS SOLUTIONS LLC,42 OLD RIDGEBURY RD STE 1,UNITED STATES
3851,BOOHOO.COM UK LIMITED,49-51 Dale Street,UNITED KINGDOM
3852,VALEO SPA,VIA ASTI 89,ITALY
3853,"MERZ NORTH AMERICA, INC.",6501 SIX FORKS RD,UNITED STATES
3854,BOOHOO GROUP PLC,49-51 Dale Street,UNITED KINGDOM
3855,VALEO SERVICE ITALIA SPA,VIA ASTI 89,ITALY
3856,BANK LEUMI USA,579 5TH AVE FL 5,UNITED STATES
3857,URENCO LIMITED,Sefton Park Bells Hill Stoke Poges,UNITED KINGDOM
3858,FINLAV SPA,VIA BOLOGNA 32,ITALY
3859,CHAPTER 4 CORP.,62 KING ST STE 3,UNITED STATES
3860,LNRS DATA SERVICES LIMITED,Quadrant House The Quadrant,UNITED KINGDOM
3861,EUREGIO PLUS SOCIETA\' DI GESTIONE DEL RISPARMIO SPA,PASSAGGIO DUOMO 15,ITALY
3862,LINODE LIMITED LIABILITY COMPANY,249 ARCH ST,UNITED STATES
3863,BARCLAYS PLC,1 Churchill Place,UNITED KINGDOM
3864,GEWISS SPA,VIA ALESSANDRO VOLTA 1,ITALY
3865,SIMCORP USA INC.,ONE STATE STREET PLAZA 1 STATE ST 29TH FL,UNITED STATES
3866,BARCLAYS EXECUTION SERVICES LIMITED,1 CHURCHILL PLACE,UNITED KINGDOM
3867,AGRICOLA PIANO VERDE SRL SOCIETA' AGRICOLA,VIA SAN PIO X 111,ITALY
3868,ASSOCIATED INDUSTRIES INSURANCE COMPANY INC,901 NW 51ST ST,UNITED STATES
3869,ASCENT FLIGHT TRAINING (HOLDINGS) LIMITED,33 WIGMORE STREET,UNITED KINGDOM
3870,ITALIA TRASPORTO AEREO SPA,VIA XX SETTEMBRE 97,ITALY
3871,"GENERAL ELECTRIC INTERNATIONAL OPERATIONS COMPANY, INC.",191 ROSA PARKS ST,UNITED STATES
3872,CHR ESTATES LIMITED,1 Montpellier Gardens,UNITED KINGDOM
3873,RICHEMONT ITALIA SPA,VIA BENIGNO CRESPI 26,ITALY
3874,BP ALTERNATIVE ENERGY NORTH AMERICA INC.,700 LOUISIANA ST STE 3300,UNITED STATES
3875,SHIMADZU UK LIMITED,"Unit 1a Mill Court Featherstone Road, Wolverton Mill",UNITED KINGDOM
3876,PATEK PHILIPPE ITALIA SRL,CORSO VENEZIA 16,ITALY
3877,"SHELL ENERGY NORTH AMERICA (US), L.P.",1000 MAIN ST,UNITED STATES
3878,DFDS LOGISTICS LIMITED,"Norfolk House South Osborne Way, Immingham Dock",UNITED KINGDOM
3879,VIASAT GROUP SPA,VIA AOSTA 23,ITALY
3880,NIELSEN CONSUMER LLC,200 W JACKSON BLVD STE 2600,UNITED STATES
3881,DFDS LOGISTICS CONTRACTS LIMITED,Nordic House Felixstowe Road,UNITED KINGDOM
3882,ONCLUSIVE MEDIA SRL,VIA ALBERTO DOMINUTTI 20,ITALY
3883,"MARTIN RETAIL GROUP, LLC",2801 UNIVERSITY BLVD STE 200,UNITED STATES
3884,DFDS PENSION LIMITED,Norfolk House South Osborne Way,UNITED KINGDOM
3885,DYNACAST ITALIA TORINO SPA,LOCALITA' VAUDA DI GROSSO 24/BIS,ITALY
3886,"NEW BALANCE ATHLETICS, INC.",100 GUEST ST,UNITED STATES
3887,DFDS FRESH LOGISTICS LIMITED,"Hsf Logistics LTD UK Dfds Killingholme Airfield, North Killingholme",UNITED KINGDOM
3888,VOSSLOH-SCHWABE ITALIA SPA,VIA SAN MARTINO 15,ITALY
3889,"SAUCONY, INC.",500 TOTTEN POND RD STE 1,UNITED STATES
3890,COLT TECHNOLOGY SERVICES,Colt House 20 Great Eastern Street,UNITED KINGDOM
3891,TRE ALTAMIRA SRL,RIPA DI PORTA TICINESE 79,ITALY
3892,"MAGNA POWERTRAIN USA, INC.",1870 TECHNOLOGY DR,UNITED STATES
3893,COLT TECHNOLOGY SERVICES EUROPE LIMITED,Colt House 20 Great Eastern Street,UNITED KINGDOM
3894,DELUXE ETS ITALY SRL,VIA DEI CAIROLI 9,ITALY
3895,TEXAS UNITED CORPORATION,4800 SAN FELIPE,UNITED STATES
3896,COLT DATA CENTRE SERVICES UK LIMITED,Colt House 20 Great Eastern Street,UNITED KINGDOM
3897,GRENKE LOCAZIONE SRL,VIA GAETANO DE CASTILLIA 23,ITALY
3898,AAC TECHNOLOGIES HOLDINGS INC,20380 TOWN CENTER LANE,UNITED STATES
3899,PRINCIPAL REAL ESTATE EUROPE LIMITED,65 GROSVENOR ST,UNITED KINGDOM
