,company_industry,company_founded,company_revenue,company_name,company_location
1014,Construction,1989.0,$1.3B,Goodman Group,"Sydney, Australia"
1015,Insurance,1892.0,$13.3B,iA Financial Corporation,"QuÃ©bec, Canada"
1016,Insurance,1848.0,$12B,Unum,"Chattanooga, Tennessee"
1017,Household & Personal Products,1991.0,$7.7B,Anta Sports Products,"Xiamen, China"
1018,Oil & Gas Operations,1967.0,$5.8B,Continental Resources,"Oklahoma City, Oklahoma"
1019,Insurance,1864.0,$11.1B,BÃ¢loise Group,"Basel, Switzerland"
1020,Technology Hardware & Equipment,2007.0,$45.2B,Pegatron,"Taipei, Taiwan"
1021,Construction,1783.0,$19.5B,Jones Lang LaSalle,"Chicago, Illinois"
1022,Insurance,1959.0,$6.2B,American Financial Group,"Cincinnati, Ohio"
1023,Diversified Financials,1902.0,$5.8B,Daiwa Securities,"Tokyo, Japan"
1024,Transportation,1953.0,$19.9B,Deutsche Lufthansa,"Cologne, Germany"
1025,Diversified Financials,1935.0,$7B,Invesco,"Atlanta, Georgia"
1026,Diversified Financials,1971.0,$5.8B,NASDAQ,"New York, New York"
1027,Capital Goods,1874.0,$12.3B,Schindler Holding,"Hergiswil, Switzerland"
1028,Banking,1849.0,$3B,Comerica,"Dallas, Texas"
1029,Banking,1923.0,$4.3B,Mizrahi Tefahot Bank,"Ramat Gan, Israel"
1030,Health Care Equipment & Services,1952.0,$2.9B,Bio-Rad Laboratories,"Hercules, California"
1031,Chemicals,2003.0,$4.2B,Industries Qatar,"Doha, Qatar"
1032,IT Software & Services,1995.0,$5.4B,Kakao,"Jejusi, South Korea"
1033,Business Services & Supplies,1984.0,$7.6B,Ashtead Group,"London, United Kingdom"
1034,Banking,1895.0,$12.1B,Punjab National Bank,"New Delhi, India"
1035,Technology Hardware & Equipment,1975.0,$11.3B,Delta Electronics,"Taipei, Taiwan"
1036,Health Care Equipment & Services,1945.0,$8.3B,Alcon,"Geneva, Switzerland"
1037,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1980.0,$42.1B,TD SYNNEX,"Fremont, California"
1038,Materials,1888.0,$7.5B,Antofagasta,"London, United Kingdom"
1039,Construction,1950.0,$13.9B,PulteGroup,"Atlanta, Georgia"
1040,Transportation,,$8.2B,Wan Hai Lines,"Taipei, Taiwan"
1041,Diversified Financials,1998.0,$6.6B,Equinix,"Redwood City, California"
1042,Materials,1939.0,$14.1B,Reliance Steel,"Los Angeles, California"
1043,Chemicals,1978.0,$14.6B,PTT Global Chemical,"Bangkok, Thailand"
1044,Banking,1965.0,$2.8B,Bankinter,"Madrid, Spain"
1045,Drugs & Biotechnology,1944.0,$15.8B,Teva Pharmaceutical,"Tel Aviv, Israel"
1046,Transportation,1905.0,$23.1B,C.H. Robinson,"Eden Prairie, Minnesota"
1047,Utilities,1947.0,$5.6B,Verbund,"Vienna , Austria"
1048,Banking,1955.0,$3B,Zions Bancorp,"Salt Lake City, Utah"
1049,Banking,1996.0,$4.7B,Bank Of Chengdu,"Chengdu, China"
1050,Diversified Financials,,$331M,3i Group,"London, United Kingdom"
1051,Banking,2006.0,$1.9B,Alinma Bank,"Riyadh, Saudi Arabia"
1052,Food & Drink,2018.0,$8.3B,JDE Peet's,"Amsterdam, Netherlands"
1053,Oil & Gas Operations,2015.0,$21.9B,Cosmo Energy Holdings,"Tokyo, Japan"
1054,Construction,1996.0,$10.9B,RiseSun Real Estate Development,"Langfang, China"
1055,"Food, Drink & Tobacco",1967.0,$17B,Uni-President,"Tainan, Taiwan"
1056,Consumer Durables,1945.0,$11.6B,Mahindra & Mahindra,"Mumbai, India"
1057,Telecommunications Services,1855.0,$13B,Telenor,"Fornebu, Norway"
1058,Drugs & Biotechnology,1928.0,$6.8B,UCB,"Brussels, Belgium"
1059,Business Services & Supplies,1930.0,$10.2B,Interpublic Group,"New York, New York"
1060,Chemicals,1969.0,$11.4B,Akzo Nobel,"Amsterdam, Netherlands"
1061,Chemicals,1918.0,$8.5B,Celanese,"Irving, Texas"
1062,Diversified Financials,1978.0,$2.3B,AvalonBay Communities,"Arlington, Virginia"
1063,Business Services & Supplies,1960.0,$29.1B,Randstad N.V.,"Diemen, Netherlands"
1064,Materials,2002.0,$11.6B,Sibanye Stillwater,"Weltevreden Park, South Africa"
1065,Banking,2003.0,$2.9B,First Financial Holding,"Taipei, Taiwan"
1066,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1989.0,$6.4B,Microchip Technology,"Chandler, Arizona"
1067,Technology Hardware & Equipment,1969.0,$25.5B,Flex,"Singapore, Singapore"
1068,Media,1991.0,$11.4B,Liberty Media Corporation Series A Liberty Formula One,"Englewood, Colorado"
1069,Health Care Equipment & Services,1999.0,$6.4B,Agilent Technologies,"Santa Clara, California"
1070,Consumer Durables,1997.0,$11.7B,Guangzhou Automobile Group,"Guangzhou, China"
1071,Utilities,,$14.5B,Rosseti,"Moscow, Russia"
1072,Materials,,$20.6B,Beijing Shougang,"Beijing, China"
1073,IT Software & Services,1976.0,$9.7B,CGI,"Montreal, Canada"
1074,Diversified Financials,2005.0,$6.1B,Csc Financial,"Beijing, China"
1075,Conglomerates,1999.0,$42.2B,ThyssenKrupp Group,"Essen, Germany"
1076,Health Care Equipment & Services,1991.0,$4.1B,Shenzhen Mindray Bio-Medical Electronics,"Shenzhen, China"
1077,Technology Hardware & Equipment,1944.0,$5.9B,Hoya,"Tokyo, Japan"
1078,"Food, Drink & Tobacco",1995.0,$9.1B,Tongwei,"Chengdu, China"
1079,Banking,1977.0,$3.5B,Kuwait Finance House,"Kuwait City, Kuwait"
1080,"Food, Drink & Tobacco",1945.0,$17.2B,Grupo Bimbo,"Mexico City, Mexico"
1081,Consumer Durables,1998.0,$13.1B,LKQ,"Chicago, Illinois"
1082,Utilities,1951.0,$24.1B,Chubu Electric Power,"Nagoya, Japan"
1083,Retailing,1946.0,$25.2B,Lithia Motors,"Medford, Oregon"
1084,Conglomerates,1816.0,$11.7B,Swire Pacific,"Hong Kong, Hong Kong"
1085,Banking,2011.0,$1.7B,Unicaja Banco,"Malaga, Spain"
1086,Automotive (Automotive and Suppliers),1920.0,$28.1B,Mazda Motor,"Hiroshima, Japan"
1087,Telecommunications Services,1994.0,$18.2B,Telecom Italia,"Rome, Italy"
1088,Diversified Financials,2007.0,$5B,China Galaxy Securities,"Beijing, China"
1089,Capital Goods,1920.0,$5.3B,CNPC Capital,"Beijing, China"
1090,Transportation,1988.0,$15.8B,China Southern Airlines,"Guangzhou, China"
1091,IT Software & Services,1981.0,$5.7B,Dassault Systemes,"VÃ©lizy-Villacoublay, France"
1092,Utilities,1992.0,$23.2B,GD Power Development,"Beijing, China"
1093,Business Services & Supplies,1971.0,$4.5B,Paychex,"Rochester, New York"
1094,Insurance,1871.0,$7.8B,Genworth Financial,"Richmond, Virginia"
1095,"Food, Drink & Tobacco",1985.0,$5.5B,Monster Beverage,"Corona, California"
1096,Utilities,1993.0,$5.7B,China Longyuan Power,"Beijing, China"
1097,Oil & Gas Operations,1881.0,$10.5B,Ovintiv,"Denver, Colorado"
1098,Banking,1967.0,$4.3B,BDO Unibank,"Makati City, Philippines"
1099,Retailing,1991.0,$26.7B,AutoNation,"Fort Lauderdale, Florida"
1100,Construction,2007.0,$10.9B,China Aoyuan Group,"Guangzhou, China"
1101,Oil & Gas Operations,1989.0,$7.3B,Chesapeake Energy,"Oklahoma City, Oklahoma"
1102,Transportation,1961.0,$13B,J.B. Hunt Transport Services,"Lowell, Arkansas"
1103,Banking,1946.0,$3.7B,Mediobanca,"Milan, Italy"
1104,Banking,1995.0,$4.9B,Credicorp,"Lima, Peru"
1105,Diversified Financials,1969.0,$2.1B,Realty Income,"San Diego, California"
1106,Conglomerates,1997.0,$10.3B,Beijing Enterprises,"Hong Kong, Hong Kong"
1107,Oil & Gas Operations,1989.0,$3.7B,Coterra Energy,"Houston, Texas"
1108,Banking,1907.0,$5.4B,Siam Commercial Bank,"Bangkok, Thailand"
1109,Food & Drink,1996.0,$4.6B,Nongfu Spring,"Hangzhou, China"
1110,Trading Companies,1971.0,$36.1B,Finatis,"Paris, France"
1111,Construction,1995.0,$15.7B,Greentown China Holdings,"Hangzhou, China"
1112,Insurance,2007.0,$11B,Meritz Financial Group,"Seoul, South Korea"
1113,Capital Goods,,$9.4B,TBEA,"Changji, China"
1114,Capital Goods,1903.0,$7.3B,Rockwell Automation,"Milwaukee, Wisconsin"
1115,Materials,,$10.5B,West Fraser Timber Co.,"Vancouver, Canada"
1116,Insurance,1996.0,$13.8B,Helvetia Holding,"St. Gallen, Switzerland"
1117,Consumer Durables,1929.0,$11.6B,Chow Tai Fook Jewellery,"Hong Kong, Hong Kong"
1118,"Construction, Oil & Gas Operations, Mining and Chemicals",1895.0,$7.3B,Givaudan,"Vernier, Switzerland"
1119,Materials,2006.0,$5B,Polyus,"Moscow, Russia"
1120,Retailing,1998.0,$6.3B,Lululemon Athletica,"Sumner, Washington"
1121,Retailing,1990.0,$11.1B,Bath & Body Works,"Columbus, Ohio"
1122,Technology Hardware & Equipment,1966.0,$30.7B,Jabil Circuit,"St. Petersburg, Florida"
1123,Technology Hardware & Equipment,2003.0,$12.5B,Innolux,"Miaoli, Taiwan"
1124,Diversified Financials,1996.0,$3.2B,Partners Group Holding,"Baar, Switzerland"
1125,"Food, Drink & Tobacco",1573.0,$2.9B,Luzhou Lao Jiao,"Luzhou, China"
1126,Insurance,1855.0,$17.2B,Scor,"Paris, France"
1127,Conglomerates,1955.0,$8.1B,Dover,"Downers Grove, Illinois"
1128,Banking,1998.0,$1.9B,East West Bancorp,"Pasadena, California"
1129,Retail and Wholesale,1869.0,$40.8B,J Sainsbury,"London, United Kingdom"
1130,Construction,1999.0,$9.5B,Kaisa Group Holdings,"Shenzhen, China"
1131,Diversified Financials,1999.0,$11.2B,China Huarong Asset Management,"Beijing, China"
1132,Technology Hardware & Equipment,1996.0,$13.3B,AU Optronics,"Hsinchu, Taiwan"
1133,Retailing,1990.0,$8.6B,Ulta Beauty,"Bolingbrook, Illinois"
1134,Diversified Financials,1968.0,$3.1B,Korea Investment Holdings,"Seoul, South Korea"
1135,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1966.0,$1.5B,ItaÃºsa,"SÃ£o Paulo, Brazil"
1136,Consumer Durables,1958.0,$27.3B,BAIC Motor,"Beijing, China"
1137,Telecommunications Services,2008.0,$3B,Cellnex Telecom,"Barcelona, Spain"
1138,Utilities,1981.0,$11.1B,AES,"Arlington, Virginia"
1139,Materials,1992.0,$13.5B,Evraz Group,"London, United Kingdom"
1140,Aerospace & Defense,1948.0,$16.7B,Leonardo,"Rome, Italy"
1141,Materials,1967.0,$8.6B,Impala Platinum Holdings,"Northlands, South Africa"
1142,Chemicals,1976.0,$15.8B,Lotte Chemical,"Seoul, South Korea"
1143,"Food, Drink & Tobacco",1995.0,$3.8B,Foshan Haitian Flavouring and Food,"Foshan, China"
1144,"Engineering, Manufacturing",1906.0,$15.4B,Rolls-Royce Holdings,"London, United Kingdom"
1145,Business Services & Supplies,1966.0,$22.3B,Sodexo,"Issy-les-Moulineaux, France"
1146,Media,2001.0,$10.1B,Altice USA,"Long Island City, New York"
1147,Banking,1946.0,$4.8B,Bank Negara Indonesia,"Jakarta, Indonesia"
1148,Health Care Equipment & Services,2000.0,$11.6B,DaVita,"Denver, Colorado"
1149,Diversified Financials,2017.0,$16.8B,Old Mutual,"Cape Town, South Africa"
1150,"Hotels, Restaurants & Leisure",1987.0,$9.9B,Yum China Holdings,"Shanghai, China"
1151,Retail and Wholesale,1992.0,$25.6B,Penske Automotive,"Bloomfield Hills, Michigan"
1152,Consumer Durables,1918.0,$16.5B,Yamaha Motor,"Iwata, Japan"
1153,Retailing,1982.0,$18.1B,Kingfisher,"London, United Kingdom"
1154,Insurance,1982.0,$13.8B,Storebrand,"Lysaker, Norway"
1155,"Hotels, Restaurants & Leisure",1968.0,$9.3B,Darden Restaurants,"Orlando, Florida"
1156,Oil & Gas Operations,1920.0,$7.7B,Hess,"New York, New York"
1157,"Food, Drink & Tobacco",1953.0,$30.1B,CJ Corporation,"Seoul, South Korea"
1158,Retailing,1937.0,$15.1B,Falabella,"Santiago, Chile"
1159,Retailing,2010.0,$18.4B,Coupang,"Seoul, South Korea"
1160,Construction,2000.0,$1.8B,CapitaLand Investment,"Singapore, Singapore"
1161,Construction,2005.0,$1B,Fastighets Balder,"Gothenburg, Sweden"
1162,Diversified Financials,1970.0,$4.7B,Welltower,"Toledo, Ohio"
1163,Construction,1840.0,$18.2B,Kajima,"Tokyo, Japan"
1164,Materials,1954.0,$13B,Steel Authority of India,"New Delhi, India"
1165,Travel & Leisure,1937.0,$9.5B,Caesars Entertainment,"Las Vegas, Nevada"
1166,Construction,1970.0,$8.9B,New World Development,"Hong Kong, Hong Kong"
1167,Aerospace & Defense,1923.0,$12.4B,Textron,"Providence, Rhode Island"
1168,Construction,1906.0,$14.6B,Cemex,"San Pedro Garza GarcÃ­a, Mexico"
1169,Conglomerates,1969.0,$5.1B,Hexagon,"Stockholm, Sweden"
1170,Transportation,1945.0,$10.7B,ZIM Integrated Shipping Services,"Haifa, Israel"
1171,Construction,1953.0,$20.5B,China National Chemical,"Beijing, China"
1172,Trading Companies,1967.0,$6.3B,Fastenal,"Winona, Minnesota"
1173,Drugs & Biotechnology,1995.0,$4.7B,Chongqing Zhifei Biological Products,"Chongqing, China"
1174,Business Services & Supplies,1962.0,$9.5B,Secom,"Tokyo, Japan"
1175,Materials,1997.0,$21B,Angang Steel,"Anshan, China"
1176,Construction,2001.0,$39.2B,STO Express,"Shanghai, China"
1177,IT Software & Services,2011.0,$4.1B,Zoom Video Communications,"San Jose, California"
1178,Materials,1932.0,$11.9B,Magnitogorsk Iron & Steel,"Magnitogorsk, Russia"
1179,Construction,,$8.7B,NVR,"Reston, Virginia"
1180,Utilities,1909.0,$5.6B,Evergy,"Kansas City, Missouri"
1181,Construction,2013.0,$5.1B,Alpha Dhabi Holding,"Abu Dhabi, United Arab Emirates"
1182,"Food, Drink & Tobacco",1907.0,$16.6B,Kirin Holdings,"Tokyo, Japan"
1183,Banking,1997.0,$5.7B,Bank of Changsha,"Changsha, China"
1184,Materials,1938.0,$16.8B,Voestalpine,"Linz, Austria"
1185,Drugs & Biotechnology,1938.0,$30.5B,China Resources Pharmaceutical Group,"Hong Kong, Hong Kong"
1186,IT Software & Services,2014.0,$12.6B,Kuaishou Technology,"Beijing, China"
1187,Construction,2005.0,$18.9B,BBMG,"Beijing, China"
1188,Retailing,1996.0,$28.6B,Suning.com,"Nanjing, China"
1189,Banking,1841.0,$2.7B,National Bank of Greece,"Athens, Greece"
1190,Oil & Gas Operations,2005.0,$17.4B,Targa Resources,"Houston, Texas"
1191,Technology Hardware & Equipment,1968.0,$7.7B,Olympus,"Tokyo, Japan"
1192,Materials,1904.0,$28.4B,Umicore,"Brussels, Belgium"
1193,Business Services & Supplies,1996.0,$8.6B,Expedia Group,"Seattle, Washington"
1194,Diversified Financials,1919.0,$2.5B,Hua Nan Financial,"Taipei, Taiwan"
1195,"Food, Drink & Tobacco",2002.0,$3.1B,Jiangsu Yanghe Brewery,"Suqian, China"
1196,"Food, Drink & Tobacco",1972.0,$8.7B,Kerry Group,"Tralee, Ireland"
1197,Household & Personal Products,1882.0,$9B,Beiersdorf,"Hamburg, Germany"
1198,"IT, Internet, Software & Services",1969.0,$13.7B,Leidos,"Reston, Virginia"
1199,Chemicals,1920.0,$10.5B,Eastman,"Kingsport, Tennessee"
1200,Utilities,,$13.3B,Vistra Energy,"Irving, Texas"
1201,Utilities,1951.0,$19.5B,Tohoku Electric Power,"Sendai, Japan"
1202,Insurance,1997.0,$6.4B,Banca Mediolanum,"Basiglio, Italy"
1203,Utilities,1990.0,$12B,PGE Polska Grupa Energetyczna,"Warsaw, Poland"
1204,Aerospace & Defense,2003.0,$4.9B,TransDigm Group,"Cleveland, Ohio"
1205,Business Services & Supplies,1996.0,$5.9B,Experian,"Dublin, Ireland"
1206,Diversified Financials,1999.0,$3.5B,Mirae Asset Financial Group,"Seoul, South Korea"
1207,Diversified Financials,2011.0,$1.8B,EQT AB,"Stockholm, Sweden"
1208,Oil & Gas Operations,1984.0,$11B,GAIL India,"New Delhi, India"
1209,Materials,1999.0,$13.2B,Inner Mongolia Baotou Steel,"Baotou, China"
1210,Oil & Gas Operations,1982.0,$6.9B,Towngas,"Hong Kong, Hong Kong"
1211,Semiconductors,1999.0,$6.7B,ON Semiconductor Corp.,"Phoenix, Arizona"
1212,Utilities,1999.0,$3.1B,Terna,"Rome, Italy"
1213,Travel & Leisure      ,1972.0,$3.5B,Carnival Corporation,"Miami, Florida"
1214,Diversified Financials,2016.0,$1.5B,VICI Properties,"New York, New York"
1215,"Hotels, Restaurants & Leisure",1993.0,$7.5B,Chipotle Mexican Grill,"Newport Beach, California"
1216,Business Services & Supplies,1900.0,$13.8B,Toppan Printing,"Tokyo, Japan"
1217,Capital Goods,2004.0,$19.9B,Shanghai Electric Group,"Shanghai, China"
1218,Transportation,1933.0,$10.9B,Turkish Airlines,"Istanbul, Turkey"
1219,Consumer Durables,1947.0,$5B,Ferrari,"Maranello, Italy"
1220,Insurance,1887.0,$9.3B,Old Republic International,"Chicago, Illinois"
1221,Food Markets,1792.0,$24.7B,Jeronimo Martins,"Lisbon, Portugal"
1222,Health Care Equipment & Services,1927.0,$7.8B,Zimmer Biomet,"Warsaw, Indiana"
1223,Materials,1888.0,$12.8B,Alcoa,"Pittsburgh, Pennsylvania"
1224,Oil & Gas Operations,1954.0,$4.8B,Santos,"Adelaide, Australia"
1225,Capital Goods,1928.0,$15.2B,Alstom,"Saint-Ouen-sur-seine, France"
1226,Utilities,1951.0,$16.2B,Kyushu Electric Power,"Fukuoka, Japan"
1227,Automotive (Automotive and Suppliers),1898.0,$17.5B,Goodyear,"Akron, Ohio"
1228,Materials,2001.0,$6.5B,Tenaris,"Luxembourg, Luxembourg"
1229,Materials,2002.0,$12.4B,Bluescope Steel,"Melbourne, Australia"
1230,Chemicals,1998.0,$5.6B,Petronas Chemicals,"Kuala Lumpur, Malaysia"
1231,Drugs & Biotechnology,1998.0,$4.5B,Illumina,"San Diego, California"
1232,IT Software & Services,1986.0,$4.5B,Synopsys,"Mountain View, California"
1233,Utilities,1994.0,$15.8B,Datang International Power,"Beijing, China"
1234,Oil & Gas Operations,2008.0,$17.3B,Top Frontier Investment Holdings,"Makati, Philippines"
1235,Chemicals,2004.0,$11.3B,Arkema,"Colombes, France"
1236,Chemicals,1881.0,$9.2B,Nippon Paint,"Osaka, Japan"
1237,Materials,1905.0,$18B,Kobe Steel,"Kobe, Japan"
1238,Banking,1927.0,$1.1B,Bank of Greece,"Athens, Greece"
1239,Banking,1997.0,$4.7B,Bank Of Guiyang,"Guiyang, China"
1240,Capital Goods,1972.0,$24.9B,HD HYUNDAI,"Daegu, South Korea"
1241,Transportation and Logistics,1516.0,$17.8B,Royal Mail,"London, United Kingdom"
1242,Diversified Financials,1944.0,$3.4B,Lundbergs,"Stockholm, Sweden"
1243,Construction,1994.0,$12.4B,Guangzhou R&F,"Guangzhou, China"
1244,Utilities,1995.0,$10.5B,China Gas Holdings,"Hong Kong, Hong Kong"
1245,"Food, Drink & Tobacco",,$2.6B,Shanxi Xinghuacun Fen Wine Factory,"Luliang, China"
1246,Health Care Equipment & Services,1985.0,$5.5B,Hologic,"Marlborough, Massachusetts"
1247,Banking,1995.0,$2.3B,Western Alliance Bancorp.,"Phoenix, Arizona"
1248,Trading Companies,1992.0,$87.3B,Wuchan Zhongda Group,"Hangzhou, China"
1249,Food Markets,1947.0,$14.6B,Metro,"MontrÃ©al, Canada"
1250,Retailing,,$30.1B,Raizen,"Rio de Janeiro, Brazil"
1251,Transportation,1934.0,$5.3B,Old Dominion Freight Line,"Thomasville, North Carolina"
1252,Banking,1935.0,$3.9B,Israel Discount Bank,"Tel Aviv, Israel"
1253,Banking,1993.0,$5.4B,Bangkok Bank,"Bangkok, Thailand"
1254,Banking,1948.0,$6B,Akbank,"Istanbul, Turkey"
1255,Chemicals,1997.0,$13.8B,Mitsui Chemicals,"Tokyo, Japan"
1256,Construction,2017.0,$11.5B,Midea Real Estate Holding,"Foshan City, China"
1257,Consumer Durables,1912.0,$22.8B,Sharp,"Sakai, Japan"
1258,Telecommunications Services,1989.0,$6.2B,KPN,"Rotterdam, Netherlands"
1259,Retailing,1962.0,$19.4B,Kohl's,"Menomonee Falls, Wisconsin"
1260,Consumer Durables,1996.0,$16B,Chongqing Changan Auto,"Chongqing, China"
1261,Conglomerate,1922.0,$13B,Canadian Tire,"Toronto, Canada"
1262,Insurance,1824.0,$12.6B,Vienna Insurance Group,"Vienna, Austria"
1263,"Food, Drink & Tobacco",1998.0,$19.9B,New Hope Liuhe,"Chengdu, China"
1264,Construction,,$13.1B,Sichuan Road & Bridge,"Chengdu, China"
1265,Business Services & Supplies,1982.0,$3.2B,Copart,"Dallas, Texas"
1266,Retail and Wholesale,1948.0,$12.3B,Dick's Sporting Goods,"Coraopolis, Pennsylvania"
1267,Drugs & Biotechnology,1970.0,$4.3B,Jiangsu Hengrui Medicine,"Lianyungang, China"
1268,Health Care Equipment & Services,1979.0,$12.6B,Universal Health Services,"King of Prussia, Pennsylvania"
1269,Banking,1985.0,$3.5B,Grupo Inbursa,"Mexico City, Mexico"
1270,Banking,1952.0,$3.8B,Dongguan Rural Commercial Bank,"Dongguan, China"
1271,Aerospace & Defense,1911.0,$8.6B,Dassault Aviation,"Paris, France"
1272,Chemicals,2003.0,$16.6B,Yara International,"Oslo, Norway"
1273,Banking,1881.0,$7B,Banco de Sabadell,"Alicante, Spain"
1274,"Food, Drink & Tobacco",1989.0,$35B,Olam Group,"Singapore, Singapore"
1275,Drugs & Biotechnology,2000.0,$3.6B,Wuxi Apptec,"Shanghai, China"
1276,Banking,1893.0,$2.8B,Popular,"San Juan, United States"
1277,Utilities,2015.0,$5.8B,Hydro One,"Toronto, Canada"
1278,Transportation,2006.0,$13.6B,SG Holdings,"Kyoto, Japan"
1279,Trading Companies,2003.0,$18.1B,Sojitz,"Tokyo, Japan"
1280,Technology Hardware & Equipment,2001.0,$12.1B,Goertek,"Weifang, China"
1281,Telecommunications Services,,$6.4B,Frontier Communications Parent,"Norwalk, Connecticut"
1282,Construction,,$692M,Samhallsbyggnadsbolaget I Norden,"Stockholm, Sweden"
1283,Consumer Durables,1905.0,$16.4B,Schaeffler,"Herzogenaurach, Germany"
1284,Insurance,1974.0,$11.3B,Migdal Insurance,"Petach Tikva, Israel"
1285,Utilities,1997.0,$15.1B,Inter Rao,"Moscow, Russia"
1286,Banking,1888.0,$6.1B,Nedbank,"Sandton, South Africa"
1287,Construction,1992.0,$4B,Hopson Development Holdings,"Hong Kong, Hong Kong"
1288,Conglomerates,1930.0,$5.5B,Ametek,"Berwyn, Pennsylvania"
1289,Chemicals,1958.0,$4.3B,LG,"Seoul, South Korea"
1290,"Construction, Oil & Gas Operations, Mining and Chemicals",1887.0,$16.8B,Skanska,"Stockholm, Sweden"
1291,Materials,2008.0,$15.5B,HBIS,"Shijiazhuang, China"
1292,Banking,2017.0,$5.4B,Banco BPM,"Milan, Italy"
1293,Construction,,$10.4B,China Fortune Land Development,"Beijing, China"
1294,IT Software & Services,2006.0,$7.1B,Adyen,"Amsterdam, Netherlands"
1295,Transportation and Logistics,2004.0,$16.9B,Air France-KLM,"Paris, France"
1296,"Construction, Oil & Gas Operations, Mining and Chemicals",1947.0,$14.1B,Jacobs Engineering,"Dallas, Texas"
1297,Utilities,2001.0,$11.6B,China Resources Power,"Hong Kong, Hong Kong"
1298,Utilities,1994.0,$5.8B,PPL,"Allentown, Pennsylvania"
1299,Banking,1825.0,$3.3B,AIB Group,"Dublin, Ireland"
1300,Transportation,1996.0,$2.1B,Transurban Group,"Docklands, Australia"
1301,Oil & Gas Operations,2008.0,$3.8B,Tourmaline Oil,"Calgary, Canada"
1302,Banking,1949.0,$1.7B,Arab National Bank,"Riyadh, Saudi Arabia"
1303,Semiconductors,1995.0,$4.5B,Marvell Technology,"Wilmington, Delaware"
1304,Semiconductors,2002.0,$5.1B,Skyworks Solutions,"Irvine, California"
1305,Technology Hardware & Equipment,2004.0,$2.9B,Arista Networks,"Santa Clara, California"
1306,Utilities,1985.0,$1.6B,China Three Gorges Renewables (Group),"Beijing, China"
1307,Consumer Durables,1982.0,$6.6B,Electronic Arts,"Redwood City, California"
1308,"Hotels, Restaurants & Leisure",1988.0,$8.3B,Flutter Entertainment,"Dublin, Ireland"
1309,Insurance,1863.0,$7.1B,Brighthouse Financial,"Charlotte, North Carolina"
1310,Transportation,1974.0,$9.9B,International Airlines,"London, United Kingdom"
1311,Materials,1925.0,$8B,Boliden,"Stockholm, Sweden"
1312,Chemicals,1946.0,$6.5B,CF Industries Holdings,"Deerfield, Illinois"
1313,Banking,1966.0,$4.4B,Krung Thai Bank,"Bangkok, Thailand"
1314,IT Software & Services,2013.0,$26.9B,DiDi Global,"Beijing, China"
1315,Insurance,1955.0,$13.1B,Hyundai Marine & Fire,"Seoul, South Korea"
1316,Materials,1941.0,$8.9B,CSN,"SÃ£o Paulo, Brazil"
1317,Oil & Gas Operations,1954.0,$8B,APA,"Houston, Texas"
1318,Materials,,$11.2B,SSAB AB,"Stockholm, Sweden"
1319,Business Services & Supplies,1978.0,$8.4B,Teleperformance,"Paris, France"
1320,"Food, Drink & Tobacco",1869.0,$8.3B,Campbell Soup,"Camden, New Jersey"
1321,Diversified Financials,1956.0,$118M,Sofina,"Brussels, Belgium"
1322,Trading Companies,1854.0,$14.1B,Bunzl,"London, United Kingdom"
1323,"Food, Drink & Tobacco",2007.0,$23B,CJ Cheiljedang,"Seoul, South Korea"
1324,Food Markets,1994.0,$25.2B,Magnit,"Krasnodar, Russia"
1325,Construction,1994.0,$15.5B,Huadian Power International,"Beijing, China"
1326,Capital Goods,,$6.4B,NARI Technology Development,"Nanjing, China"
1327,Oil & Gas Operations,1887.0,$5.6B,Marathon Oil,"Houston, Texas"
1328,Diversified Financials,1969.0,$7.4B,Eurazeo,"Paris, France"
1329,Oil & Gas Operations,1885.0,$17.5B,Tokyo Gas,"Tokyo, Japan"
1330,Banking,1998.0,$7.2B,Guangzhou Rural Commercial Bank,"Guangzhou, China"
1331,Construction,,$1.1B,Heimstaden AB Pref. Shs,"MalmÃ¶, Sweden"
1332,Technology Hardware & Equipment,2014.0,$5B,Keysight Technologies,"Santa Rosa, California"
1333,Diversified Financials,1804.0,$4.2B,Schroders,"London, United Kingdom"
1334,Diversified Financials,,$47.6B,StoneX Group,"New York, New York"
1335,Materials,1866.0,$20.4B,Aurubis,"Hamburg, Germany"
1336,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1989.0,$5B,Garmin,"Schaffhausen, Switzerland"
1337,Technology Hardware & Equipment,1984.0,$44.2B,Compal Electronics,"Taipei, Taiwan"
1338,Chemicals,,$17.9B,ENN Natural Gas,"Shijiazhuang, China"
1339,Insurance,,$8.7B,Phoenix Holdings,"Givatayim, Israel"
1340,"Food, Drink & Tobacco",1889.0,$6.4B,McCormick,"Baltimore, Maryland"
1341,Banking,1907.0,$6.2B,Indian Bank,"Chennai, India"
1342,Health Care Equipment & Services,1983.0,$3.2B,IDEXX Laboratories,"Westbrook, Maine"
1343,Materials,1934.0,$11.9B,Smurfit Kappa Group,"Dublin, Ireland"
1344,Materials,2011.0,$2.7B,Xinjiang Daqo New Energy,"Shihezi, China"
1345,Banking,1933.0,$7.7B,Halkbank,"Istanbul, Turkey"
1346,Business Services & Supplies,2002.0,$6.2B,Waste Connections,"Woodbridge, Canada"
