,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
543, Mr. Mohammed Abdullah Al-Yahya,Saudi Arabia," 5,660",,"Riyadh,SaudiArabia",Banks,$29.86 B,Riyad Bank,1010
544, Mr. Henrik  Andersen,Denmark," 29,427",,"Aarhus,Denmark",Specialty Industrial Machinery,$29.93 B,Vestas Wind Systems A-S,VWS
545, Mr. N. Thomas Linebarger,United States," 59,900", 1919,"Columbus,IN,UnitedStates",Specialty Industrial Machinery,$29.94 B,Cummins Inc.,CMI
546, Mr. Nico  Delvaux,Sweden," 51,000",,"Stockholm,Sweden",Security & Protection Services,$30.05 B,ASSA ABLOY AB,ALZ
547, Mr. Peter M. Moglia,United States, 559, OctoberÂ 1994,"Pasadena,CA,UnitedStates",REITâOffice,$30.10 B,"Alexandria Real Estate Equities, Inc.",ARE
548, Mr. Benoit  Bazin,France," 167,816",,"Courbevoie,France",Building Products & Equipment,$30.16 B,Compagnie de Saint-Gobain SA,SGO
549, Mr. Eric M. Green,United States," 10,065", 1923,"Exton,PA,UnitedStates",Medical Instruments & Supplies,$30.23 B,"West Pharmaceutical Services, Inc.",WST
550, Mr. Takahito  Tokita,Japan," 126,371",,"Tokyo,Japan",Information Technology Services,$30.28 B,Fujitsu Ltd,6702
551, Ms. M. Susan Hardwick,United States," 6,400", 1886,"Camden,NJ,UnitedStates",UtilitiesâRegulated Water,$30.43 B,"American Water Works Company, Inc.",AWK
552, Mr. Robert E. Sulentic,United States," 105,000"," August 27, 1906","LosAngeles,CA,UnitedStates",Real Estate Services,$30.45 B,"CBRE Group, Inc.",CBRE
553, Mr. Gregory D. Carmichael,United States," 19,112"," JuneÂ 17, 1858","Cincinnati,OH,UnitedStates",Banks,$30.46 B,Fifth Third Bancorp,FITB
554,,United Kingdom," 89,600", 30Â November 1999,"London,UnitedKingdom",Aerospace & Defense,$30.51 B,BAE Systems plc,BA.
555, Mr. Kevin  Murphy,United Kingdom," 31,000",,"Wokingham,UnitedKingdom",Industrial Distribution,$30.52 B,Ferguson plc,FERG
556, Mr. Yozo  Shimano,Japan," 12,244",,"Sakai,Japan",Leisure,$21.51 B,"Shimano, Inc.",7309
557, Mr. Thomas E. Jorden,United States, 936," July 26, 2016","Bristol,TN,UnitedStates",Thermal Coal,$21.57 B,"Contura Energy, Inc.",CTRA
558, Mr. Gilson  Finkelsztain,Brazil,,,"SaoPaulo,SP,Brazil",Financial Data & Stock Exchanges,$21.58 B,"B3 S.A. - Brasil, Bolsa, Balcao",B3SA3
559, Dr. Robert  Mehrabian,United States," 14,500", 1960,"ThousandOaks,CA,UnitedStates",Scientific & Technical Instruments,$21.65 B,Teledyne Technologies Incorporated,TDY
560, Mr. Christopher Marrott Gorman,United States," 17,654", 1825,"Cleveland,OH,UnitedStates",Banks,$21.71 B,KeyCorp,KEY
561, Mr. Rene F. Jones CPA,United States," 17,115"," AugustÂ 29, 1856","Buffalo,NY,UnitedStates",Banks,$21.74 B,M&T Bank Corporation,MTB
562,,Japan," 64,823",,"Tokyo,Japan",InsuranceâLife,$21.76 B,"Dai-ichi Life Holdings, Inc.",8750
563, Mr. David C. Kimbell,United States," 16,000", 1990,"Bolingbrook,IL,UnitedStates",Specialty Retail,$21.82 B,"Ulta Beauty, Inc.",ULTA
564, Mr. Anders  Gustafsson,United States," 9,800", 1969,"Lincolnshire,IL,UnitedStates",Communication Equipment,$21.87 B,Zebra Technologies Corporation,ZBRA
565, Mr. Michael R. Hsing,United States," 2,773", 1997,"Kirkland,WA,UnitedStates",Semiconductors,$21.87 B,"Monolithic Power Systems, Inc.",MPWR
566,,Canada," 5,700",,"Toronto,ON,Canada",Restaurants,$21.89 B,Restaurant Brands International Limited Partnership,QSP.UN
567, Mr. James B. Connor,United States, 340, 1972,"Indianapolis,IN,UnitedStates",REITâIndustrial,$21.93 B,Duke Realty Corporation,DRE
568, Mr. Stephen D. Steinour,United States," 18,442", 1866,"Columbus,OH,UnitedStates",Banks,$21.93 B,Huntington Bancshares Incorporated,HBAN
569, Mr. Scott Wellington Wine,United Kingdom," 71,895", 2012,"London,UnitedKingdom",Farm & Heavy Construction Machinery,$21.93 B,CNH Industrial N.V.,CNHI
570, Mr. Gerteric  Lindquist,Sweden," 20,400",,"Markaryd,Sweden",Building Products & Equipment,$21.93 B,NIBE Industrier AB,NJB
571, Mr. W. Anthony Will,United States," 2,970", 1946Â ,"Deerfield,IL,UnitedStates",Agricultural Inputs,$21.95 B,"CF Industries Holdings, Inc.",CF
572," Mr. Steven Justus Johnston C.F.A., CERA, CFA, FCAS, MAAA",United States," 5,166"," Cincinnati, Ohio, U.S 1950","Fairfield,OH,UnitedStates",InsuranceâProperty & Casualty,$21.99 B,Cincinnati Financial Corporation,CINF
573,,Japan," 66,947",,"Kariya,Japan",Auto Manufacturers,$21.99 B,Toyota Industries Corp,6201
574, Dr. Christian  Buhl,Switzerland," 11,149",,"Rapperswil-Jona,Switzerland",Building Products & Equipment,$22.03 B,Geberit AG,GEBN
575, Mr. Meisong  Lai,China," 22,536",,"Shanghai,China",Integrated Freight & Logistics,$22.05 B,ZTO Express (Cayman) Inc.,ZTO
576, Mr. Takahisa  Takahara,Japan," 16,665",,"Tokyo,Japan",Household & Personal Products,$22.08 B,Unicharm Corp,8113
577, Mr. Thiago  Maffra,Brazil," 3,000", May 2001,"SÃÂ£oPaulo,SP,Brazil",Capital Markets,$22.16 B,XP Inc.,XPBR31
578, Mr. Liam K. Griffin,United States," 11,000", 2002,"Irvine,CA,UnitedStates",Semiconductors,$22.17 B,"Skyworks Solutions, Inc.",SWKS
579,,China," 164,177",,"Beijing,China",Railroads,$22.21 B,CRRC Corp Ltd,601766
580," Mr. William B. Berry B.Sc., M.Sc.",United States," 1,254",,"OklahomaCity,OK,UnitedStates",Oil & Gas E&P,$22.25 B,"Continental Resources, Inc.",CLR
581, Mr. Stephen D. Steinour,United States," 18,442",,"Columbus,OH,UnitedStates",Banks,$22.26 B,"Huntington Bancshares, Inc.",HU3
582, Mr. Alfonso  Garza Garza,Mexico," 320,808", 1890,"Monterrey,NL,Mexico",BeveragesâBrewers,$22.28 B,"Fomento EconÃ³mico Mexicano, S.A.B. de C.V.",FEMSAUB
583, Mr. Daniel  Julien,France," 420,000",,"Paris,France",Consulting Services,$22.30 B,Teleperformance SE,TEP
584, Mr. Norman D. Schwartz,United States," 7,900", 1952,"Hercules,CA,UnitedStates",Medical Devices,$22.32 B,"Bio-Rad Laboratories, Inc.",BIO
585,,Sweden," 155,000",,"Stockholm,Sweden",Apparel Manufacturing,$22.33 B,Hennes & Mauritz AB,HM.B
586, Mr. Fausto  de Andrade Ribeiro,Brazil," 84,597",,"Brasilia,DF,Brazil",Banks,$22.36 B,Banco do Brasil SA,BBAS3
587, Mr. Thierry Yves Henri  Bollore,India," 75,278", 1945,"Mumbai,India",Auto Manufacturers,$22.38 B,Tata Motors Limited,TTM
588, Mr. Masayuki  Hyodo,Japan," 74,920",,"Tokyo,Japan",Conglomerates,$22.42 B,Sumitomo Corp,8053
589,,China," 14,506",,"Beijing,China",UtilitiesâIndependent Power Producers,$22.42 B,China National Nuclear Power Co. Ltd,601985
590, Mr. Todd  McKinnon,United States," 5,030", JanuaryÂ 2009,"SanFrancisco,CA,UnitedStates",SoftwareâInfrastructure,$22.45 B,"Okta, Inc.",OKTA
591, Ms. Magdalena  Martullo-Blocher,Switzerland," 2,646",,"Domat/Ems,Switzerland",Specialty Chemicals,$22.48 B,EMS-CHEMIE HOLDING AG,EMSN
592, Mr. Michael J. Schall CPA,United States," 1,739", 1971,"SanMateo,CA,UnitedStates",REITâResidential,$22.51 B,"Essex Property Trust, Inc.",ESS
593, Mr. Damian Paul Gammell,United Kingdom," 22,000",,"Uxbridge,UnitedKingdom",BeveragesâNon-Alcoholic,$22.53 B,Coca-Cola Europacific Partners plc,CCEP
594,,Hong Kong," 55,302",,"NorthPoint,HongKong",UtilitiesâRegulated Gas,$22.54 B,The Hong Kong and China Gas Company Ltd,0003
595, Mr. Hiroyuki  Ogawa,Japan," 61,564",,"Tokyo,Japan",Farm & Heavy Construction Machinery,$22.56 B,Komatsu Ltd,6301
596, Mr. Jose Marcos  Ramirez Miguel,Mexico,,,"SantaFe,DF,Mexico",Banks,$22.60 B,Grupo Financiero Banorte SAB de CV,GFNORTEO
597,,China," 171,508",,"Beijing,China",InsuranceâProperty & Casualty,$22.62 B,PICC Property and Casualty Company Ltd,2328
598, Mr. Steven A. Cahillane,United States," 31,000"," FebruaryÂ 19, 1906","BattleCreek,MI,UnitedStates",Packaged Foods,$22.63 B,Kellogg Company,K
599, Mr. Antonio Fabio Neri,United States," 60,400"," NovemberÂ 1, 2015","Houston,TX,UnitedStates",Communication Equipment,$22.65 B,Hewlett Packard Enterprise Company,HPE
600, Mr. Jun  Yan,China," 14,068",,"Shanghai,China",Marine Shipping,$22.65 B,Shanghai International Port,600018
601, Mr. Jean-Christophe  Tellier,Belgium," 8,600",,"Brussels,Belgium",Biotechnology,$22.71 B,UCB SA,UCB
602, Mr. Yuki  Kusumi,Japan," 240,786",,"Kadoma,Japan",Consumer Electronics,$22.73 B,Panasonic Corp,6752
603, Dr. Gilles G. Martin Ph.D.,Luxembourg," 57,992",,"LuxembourgCity,Luxembourg",                                        Diagnostics & Research                                    ,$22.75 B,Eurofins Scientific SE,ERF
604,,Chile," 6,081"," June 11th, 1968","Santiago,Chile",Chemicals,$22.77 B,Sociedad QuÃ­mica y Minera de Chile SA,SQM
605, Ms. Helena  Hedblom M.Sc.,Sweden," 15,529",,"Nacka,Sweden",Farm & Heavy Construction Machinery,$24.08 B,Epiroc AB,3AD2
606, Mr. James Thomas Hill,United States," 11,912", 1909 as Birmingham Slag Company,"Birmingham,AL,UnitedStates",Building Materials,$24.08 B,Vulcan Materials Company,VMC
607, Mr. Philip Eric Rene Jansen,United Kingdom," 99,700", 18Â June 1846,"London,UnitedKingdom",Telecom Services,$24.09 B,BT Group plc,BT.A
608, Mr. Teiichi  Goto,Japan," 73,275",,"Tokyo,Japan",Business Equipment & Supplies,$24.12 B,FUJIFILM Holdings Corp,4901
609, Mr. Stephan  Sturm,Germany," 316,078",,"BadHomburgvorderHohe,Germany",Medical Care Facilities,$24.12 B,Fresenius SE & Co KGaA,FRE
610, Mr. H. Eric Bolton Jr.,United States," 2,429", 1977,"Germantown,TN,UnitedStates",REITâResidential,$24.18 B,"Mid-America Apartment Communities, Inc.",MAA
611, Mr. Phanich  Sodsee,United States," 1,664"," Vancouver, British Columbia, Canada 2009","SanFrancisco,CA,UnitedStates",SoftwareâApplication,$24.30 B,"Slack Technologies, Inc.",WORK
612, Mr. Michael G. O'Grady,United States," 21,100", 1889,"Chicago,IL,UnitedStates",Asset Management,$24.42 B,Northern Trust Corporation,NTRS
613, Mr. Xiaopeng  He,China," 5,084", 2014,"Guangzhou,China",Auto Manufacturers,$24.44 B,XPeng Inc.,XPEV
614, Mr. Maurici  Lucena Betriu,Spain," 8,162",,"Madrid,Spain",Airports & Air Services,$24.45 B,"Aena S.M.E., SA",AENA
615,,Taiwan,,,"Taipei,Taiwan",Marine Shipping,$24.49 B,Evergreen Marine Corp,2603
616," Ms. Marguerite Eileen O'Neill B.Sc., M.Sc.",Australia," 3,684", 26Â JulyÂ 1954,"Perth,WA,Australia",Oil & Gas E&P,$24.60 B,Woodside Petroleum Ltd,WPL
617, Mr. Michael  Rapino,United States," 10,200"," JanuaryÂ 25, 2010","BeverlyHills,CA,UnitedStates",Entertainment,$24.61 B,"Live Nation Entertainment, Inc.",LYV
618,,China," 59,262",,"Beijing,China",Banks,$24.65 B,China Minsheng Banking Corp Ltd,600016
619, Mr. Martin J. Lyons Jr.,United States," 9,116", 1997,"St.Louis,MO,UnitedStates",UtilitiesâRegulated Electric,$24.79 B,Ameren Corporation,AEE
620, Mr. Matthew Thomas Farrell,United States," 5,100"," 1847: as John Dwight and Company 1896: as Church & Dwight, Co.","Ewing,NJ,UnitedStates",Household & Personal Products,$24.81 B,"Church & Dwight Co., Inc.",CHD
621, Mr. D. James Bidzos,United States, 902," AprilÂ 12, 1995","Reston,VA,UnitedStates",SoftwareâInfrastructure,$24.81 B,"VeriSign, Inc.",VRSN
622, Mr. Travis D. Stice,United States, 870,,"Midland,TX,UnitedStates",Oil & Gas E&P,$24.84 B,"Diamondback Energy, Inc.",FANG
623, Dr. Clay B. Siegall,United States," 2,675", 1997,"Bothell,WA,UnitedStates",Biotechnology,$24.87 B,Seagen Inc.,SGEN
624, Dr. Alexander C. Karp,United States," 2,920", 2003,"Denver,CO,UnitedStates",SoftwareâInfrastructure,$24.91 B,Palantir Technologies Inc.,PLTR
625, Mr. Edward H. Bastian,United States," 83,000"," MarchÂ 2, 1925","Atlanta,GA,UnitedStates",Airlines,$24.92 B,"Delta Air Lines, Inc.",DAL
626, Mr. Miguel Stilwell de Andrade,Spain," 2,114",,"Madrid,Spain",UtilitiesâRenewable,$25.01 B,"EDP RenovÃ¡veis, SA",EDPR
627, Mr. Eugene A. Hall,United States," 16,600", 1979,"Stamford,CT,UnitedStates",Information Technology Services,$25.03 B,"Gartner, Inc.",IT
628, Ms. Christine A. Leahy,United States," 13,900", 1984,"Lincolnshire,IL,UnitedStates",Information Technology Services,$25.04 B,CDW Corporation,CDW
629, Mr. James C. O'Rourke P.Eng.,United States," 12,525"," OctoberÂ 22, 2004","Tampa,FL,UnitedStates",Agricultural Inputs,$25.09 B,The Mosaic Company,MOS
630, Mr. Johan  Torgeby,Sweden," 15,500",,"Stockholm,Sweden",Banks,$25.15 B,Skandinaviska Enskilda Banken AB,SEB.A
631,,Hong Kong," 17,088",,"Central,HongKong",Resorts & Casinos,$25.17 B,Galaxy Entertainment Group Ltd,0027
632, Mr. BenoÃÂ®t  Coquart,France," 38,207",,"Limoges,France",Specialty Industrial Machinery,$25.19 B,Legrand SA,LR
633, Mr. Badrinarayanan  Kothandaraman,United States," 2,260", 2006,"Fremont,CA,UnitedStates",Solar,$25.20 B,"Enphase Energy, Inc.",ENPH
634,,Hong Kong," 54,000",,"Central,HongKong",Real EstateâDevelopment,$25.21 B,CK Asset Holdings Limited,1113
635, Mr. Jerry Kent Masters Jr.,United States," 6,000", 1994,"Charlotte,NC,UnitedStates",Specialty Chemicals,$25.25 B,Albemarle Corporation,ALB
636, Mr. Steven E. Strah,United States," 12,395"," NovemberÂ 7, 1997","Akron,OH,UnitedStates",UtilitiesâDiversified,$25.26 B,FirstEnergy Corp.,FE
637,,China," 63,869",,"Zoucheng,China",Thermal Coal,$25.26 B,Yanzhou Coal Mining Company Ltd,600188
638, Mr. Richard Kendall  Lancaster BE,Hong Kong," 7,061",,"HungHom,HongKong",UtilitiesâRegulated Electric,$25.29 B,CLP Holdings Ltd,0002
639, Mr. Guillaume  Daniellot,Switzerland," 8,692",,"Basel,Switzerland",Medical Instruments & Supplies,$25.31 B,Straumann Holding AG,STMN
640, Mr. Jonathan M. Jaffe,United States," 10,753", 1954,"Miami,FL,UnitedStates",Residential Construction,$25.34 B,Lennar Corporation,LEN
641,,Taiwan,,,"Kaohsiung,Taiwan",Specialty Chemicals,$25.41 B,Nan Ya Plastics Corp,1303
642, Mr. Matthew J. Flannery,United States," 20,400"," AugustÂ 14, 1997","Stamford,CT,UnitedStates",Rental & Leasing Services,$25.46 B,"United Rentals, Inc.",URI
643, Mr. Amitabh  Chaudhry,India," 86,266",,"Mumbai,India",Banks,$25.54 B,Axis Bank Ltd,AXISBANK
644, Mr. Mario Roberto Opice Leao,Brazil," 48,834", 1982,"SaoPaulo,SP,Brazil",Banks,$25.59 B,Banco Santander (Brasil) SA,SANB11
645, Mr. Dev C. Ittycheria,United States," 2,539", 2007,"NewYork,NY,UnitedStates",SoftwareâInfrastructure,$25.73 B,"MongoDB, Inc.",MDB
646, Mr. Kei  Uruma,Japan," 145,653"," JanuaryÂ 15, 1921","Tokyo,Japan",Electrical Equipment & Parts,$25.61 B,Mitsubishi Electric Corporation,6503
647, Mr. Adam H. Schechter,United States," 67,950"," SeptemberÂ 5, 1978","Burlington,NC,UnitedStates",Diagnostics & Research,$25.75 B,Laboratory Corporation of America Holdings,LH
648, Mr. Christopher Jerome Swift CPA,United States," 18,100", 1810,"Hartford,CT,UnitedStates",InsuranceâDiversified,$25.76 B,"The Hartford Financial Services Group, Inc.",HIG
649, Dr. Frank  Mastiaux,Germany," 24,519",,"Karlsruhe,Germany",UtilitiesâDiversified,$25.82 B,EnBW Energie Baden-Wuerttemberg AG,EBK
650, Mr. Xiang  Li,China," 11,901", 2015,"Beijing,China",Auto Manufacturers,$25.83 B,Li Auto Inc.,LI
651,,Japan," 30,153",,"Nagoya,Japan",Railroads,$26.00 B,Central Japan Railway Co,9022
652, Mr. Jose MarÃÂ­a  Alvarez-Pallete Lopez,Spain," 104,150", 19Â April 1924,"Madrid,Spain",Telecom Services,$26.04 B,"TelefÃ³nica, SA",TEF
653, Mr. David  Baszucki,United States," 1,600",,"SanMateo,CA,UnitedStates",Electronic Gaming & Multimedia,$26.05 B,Roblox Corp,RBLX
654,,China," 46,989",,"Beijing,China",Banks,$26.13 B,China Everbright Bank Company Ltd,601818
655, Mr. Sumit  Roy,United States, 367, 1969,"SanDiego,CA,UnitedStates",REITâRetail,$26.18 B,Realty Income Corporation,O
656, Mr. Arnd  Kaldowski,Switzerland," 14,922",,"Stafa,Switzerland",Medical Instruments & Supplies,$26.22 B,Sonova Holding AG,SOON
657, Mr. Laurent  Ferreira,Canada," 27,804", NovemberÂ 1979,"Montreal,QC,Canada",Banks,$26.29 B,National Bank of Canada,
658, Mr. Bhavesh V. Patel,United States," 5,300",,"Fairlawn,OH,UnitedStates",Chemicals,$26.38 B,"LYONDELLBASELL ADVANCED POLYMERS, Inc.",SLMNP
659, Mr. Fujio  Mitarai,Japan," 184,034", 10Â August 1937,"Tokyo,Japan",Computer Hardware,$26.38 B,Canon Inc.,7751
660, Mr. Christian  Sewing,Germany," 82,969", 10 March 1869,"FrankfurtamMain,Germany",Banks,$26.38 B,Deutsche Bank AG,DBK
661, Mr. Charles J. G. Brindamour B.Sc.,Canada," 26,000", 1809,"Toronto,ON,Canada",InsuranceâProperty & Casualty,$26.40 B,Intact Financial Corporation,IFC
662, Mr. Gerard M. Anderson,United States," 10,300",,"Detroit,MI,UnitedStates",UtilitiesâRegulated Electric,$26.41 B,DTE Energy Company,DTE
663, Mr. Robert E. Jordan,United States," 55,100"," MarchÂ 15, 1967","Dallas,TX,UnitedStates",Airlines,$26.52 B,Southwest Airlines Co.,LUV
664, Mr. Patrice  Caine,France," 81,098",,"Courbevoie,France",Aerospace & Defense,$26.55 B,Thales SA,HO
665, Mr. John S. Riccitiello,United States," 5,245", 2004,"SanFrancisco,CA,UnitedStates",SoftwareâApplication,$26.56 B,Unity Software Inc.,U
666, Mr. Patrick J. Ottensmeyer,United States," 6,522", 1887,"KansasCity,MO,UnitedStates",Railroads,$26.59 B,Kansas City Southern,KSU
667, Ms. Patricia Kessler Poppe,United States," 26,000", 1905,"SanFrancisco,CA,UnitedStates",UtilitiesâRegulated Electric,$26.66 B,PG&E Corporation,PCG
668, Mr. Jack A. Fusco,United States,,,"Houston,TX,UnitedStates",Oil & Gas Midstream,$26.68 B,"Cheniere Energy Partners, L.P.",CQP
669, Mr. Stefan  Widing,Sweden," 44,133",,"Stockholm,Sweden",Specialty Industrial Machinery,$26.71 B,Sandvik AB,SAND
670, Mr. Rolf Eberhard Buch,Germany," 16,051",,"Bochum,Germany",Real Estate Services,$26.78 B,Vonovia SE,VNA
671,,China," 3,103",,"Beijing,China",Biotechnology,$26.80 B,Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,603392
672,,Sweden," 8,987",,"Stockholm,Sweden",Gambling,$26.82 B,Evolution Gaming Group AB,EVO
673, Mr. Shuichi  Ishibashi,Japan," 138,036",,"Tokyo,Japan",Auto Parts,$26.88 B,Bridgestone Corp,5108
674, Mr. Bryan C. Hanson,United States," 19,500", 1927,"Warsaw,IN,UnitedStates",Medical Devices,$26.94 B,"Zimmer Biomet Holdings, Inc.",ZBH
675,,China," 22,808",,"Changsha,China",Medical Care Facilities,$26.95 B,Aier Eye Hospital Group Co. Ltd,300015
676,,China," 36,344",,"Xi'an,China",Thermal Coal,$26.95 B,Shaanxi Coal Industry Company Ltd,601225
677, Dr. Ajei S. Gopal Ph.D.,United States," 5,100"," Canonsburg, Pennsylvania, United States 1970","Canonsburg,PA,UnitedStates",SoftwareâApplication,$26.98 B,"ANSYS, Inc.",ANSS
678, Dr. Dieter  Weisskopf Ph.D.,Switzerland," 14,000",,"Kilchberg,Switzerland",Confectioners,$27.08 B,Chocoladefabriken Lindt & SprÃ¼ngli AG,LISN
679, Mr. Harry A. Lawton III,United States," 22,000", 1938,"Brentwood,TN,UnitedStates",Specialty Retail,$27.09 B,Tractor Supply Company,TSCO
680,,Taiwan," 44,461",,"Taipei,Taiwan",InsuranceâLife,$27.13 B,Fubon Financial Holding Co. Ltd,2881
681, Mr. Alexander Valerievich Dyukov,Russia,,,"SaintPetersburg,Russia",Oil & Gas Integrated,$27.14 B,Gazprom Neft PJSC,SIBN
682, Mr. Milan  Galik,United States," 2,571"," New York City, United States 1978","Greenwich,CT,UnitedStates",Capital Markets,$27.22 B,"Interactive Brokers Group, Inc.",IBKR
683,,China," 3,291",,"Shanghai,China",Semiconductors,$27.24 B,Will Semiconductor Co. Ltd,603501
684, Mr. Liangbin  Li,China," 5,533",,"Xinyu,China",Chemicals,$27.25 B,Ganfeng Lithium Co. Ltd,002460
685, Mr. Hiroshi  Honma,Japan," 139,677",,"Tokyo,Japan",Information Technology Services,$27.26 B,NTT Data Corp,9613
686, Mr. Lawrence E. Kurzius,United States," 14,000", 1889,"HuntValley,MD,UnitedStates",Packaged Foods,$27.29 B,"McCormick & Company, Incorporated",MKC
687, Mr. Henrik  Ehrnrooth M.Sc. (Econ),Finland," 62,720",,"Espoo,Finland",Specialty Industrial Machinery,$27.29 B,KONE Oyj,KNEBV
688,,China," 8,806",,"Nanjing,China",Specialty Industrial Machinery,$27.33 B,NARI Technology Co. Ltd,600406
689, Mr. Donald G. Macpherson,United States," 22,700", 1927,"LakeForest,IL,UnitedStates",Industrial Distribution,$27.33 B,"W.W. Grainger, Inc.",GWW
690, Mr. David V. Auld,United States," 11,788", 1978,"Arlington,TX,UnitedStates",Residential Construction,$27.34 B,"D.R. Horton, Inc.",DHI
691, Dr. Joachim  Kreuzburg,Germany," 13,832",,"Gottingen,Germany",Medical Instruments & Supplies,$27.35 B,Sartorius AG,SRT
692, Mr. Joseph Daniel Margolis J.D.,United States," 4,309", 1977,"SaltLakeCity,UT,UnitedStates",REITâIndustrial,$27.37 B,Extra Space Storage Inc.,EXR
693, Mr. Torbjorn  Magnusson,Finland," 13,340",,"Helsinki,Finland",InsuranceâDiversified,$27.46 B,Sampo Oyj,SAMPO
694, Mr. Gonzalo Maria  Gortazar Rotaeche,Spain," 49,607",,"Valencia,Spain",Banks,$27.58 B,"CaixaBank, SA",CABK
695, Mr. Hassane S. El-Khoury,United States," 30,000", 1999,"Phoenix,AZ,UnitedStates",Semiconductors,$27.63 B,ON Semiconductor Corporation,ON
696, Ms. Nancy  McKinstry,Netherlands," 19,454",,"AlphenaandenRijn,Netherlands",Publishing,$27.65 B,Wolters Kluwer N.V.,WKL
697, Mr. Pedro J. Pizarro,United States," 13,003", 1886,"Rosemead,CA,UnitedStates",UtilitiesâRegulated Electric,$27.67 B,Edison International,EIX
698,,Switzerland," 13,985",,"Zurich,Switzerland",InsuranceâReinsurance,$27.80 B,Swiss Re AG,SREN
699, Mr. Thapana  Sirivadhanabhakdi,Thailand,,,"Bangkok,Thailand",BeveragesâWineries & Distilleries,$27.81 B,Thai Beverage Public Company Ltd,Y92
700, Mr. Paul Anthony Mahon,Canada," 28,000", 1891,"Winnipeg,MB,Canada",InsuranceâLife,$27.85 B,Great-West Lifeco Inc.,GWO
701, Mr. FranÃÂ§ois Adrianus van Houten,Netherlands," 78,189", 15Â May 1891,"Amsterdam,Netherlands",Diagnostics & Research,$27.89 B,Koninklijke Philips N.V.,PHIA
702, Mr. Michael J. Roffler,United States," 6,295", 1985,"SanFrancisco,CA,UnitedStates",Banks,$27.90 B,First Republic Bank,FRC
703,,Netherlands," 82,257",,"Amsterdam,Netherlands",BeveragesâBrewers,$22.78 B,Heineken Holding N.V.,HEIO
704, Mr. Abdulrahman Ahmed Shamsaddin,Saudi Arabia,,,"Jubail,SaudiArabia",Agricultural Inputs,$22.78 B,SABIC Agri-Nutrients Company,2020
705, Dr. Jan G.J. van de Winkel,Denmark," 1,212",,"Copenhagen,Denmark",Biotechnology,$22.83 B,Genmab A/S,GMAB
706,,China," 29,522",,"Dalian,China",Textile Manufacturing,$22.86 B,"Hengli Petrochemical Co.,Ltd.",600346
707, Mr. Vincent  Sorgi,United States," 5,607"," June 4, 1920","Allentown,PA,UnitedStates",UtilitiesâRegulated Electric,$22.87 B,PPL Corporation,PPL
708, Mr. Richard Joseph Tobin,United States," 25,000", 1955,"DownersGrove,IL,UnitedStates",Specialty Industrial Machinery,$22.94 B,Dover Corporation,DOV
709, Mr. Steven E. Rendle,United States," 27,200", OctoberÂ 1899,"GreenwoodVillage,CO,UnitedStates",Apparel Manufacturing,$22.96 B,V.F. Corporation,VFC
710, Mr. Yasuo  Takeuchi,Japan," 31,653",,"Tokyo,Japan",Medical Instruments & Supplies,$23.00 B,Olympus Corp,7733
711, Mr. Pablo Gerardo Legorreta,United States,,,"NewYork,NY,UnitedStates",Biotechnology,$23.04 B,Royalty Pharma plc,RPRX
712, Mr. Dallas B. Tanner,United States," 1,240", 2012,"Dallas,TX,UnitedStates",REITâResidential,$23.09 B,Invitation Homes Inc.,INVH
713, Mr. Zhaohui  Huang,China," 9,372",,"Beijing,China",Capital Markets,$23.13 B,China International Capital Corp Ltd,601995
714, Mr. Shinjiro  Sato,Japan," 26,482",,"Tokyo,Japan",Medical Instruments & Supplies,$23.16 B,Terumo Corp,4543
715, Mr. Frederic  Oudea,France," 124,089",,"Paris,France",Banks,$23.18 B,SociÃ©tÃ© GÃ©nÃ©rale SA,GLE
716,,China," 52,809",,"Yunfu,China",Farm Products,$23.20 B,Wens Foodstuff Group Co. Ltd,300498
717, Mr. Lachlan Keith Murdoch,United States," 9,000"," JanuaryÂ 1, 2019","NewYork,NY,UnitedStates",Broadcasting,$23.26 B,Fox Corporation,FOXA
718,,China," 24,586",,"Beijing,China",Farm & Heavy Construction Machinery,$23.27 B,Sany Heavy Industry Co. Ltd,600031
719, Mr. Arnold W. Donald,United States," 40,000", 1972,"Miami,FL,UnitedStates",Travel Services,$23.29 B,Carnival Corporation & plc,CCL
720,,China," 18,352", 2005,"Shanghai,China",Lodging,$23.34 B,Huazhu Group Limited,HTHT
721, Mr. Clifton  Albert Pemble,Switzerland," 18,700", OctoberÂ 1989,"Schaffhausen,Switzerland",Scientific & Technical Instruments,$23.35 B,Garmin Ltd.,GRMN
722,,Taiwan," 19,500",,"HsinchuCity,Taiwan",Semiconductors,$23.35 B,United Microelectronics Corporation,2303
723, Mr. Gregory B. Maffei,United States,,,"Englewood,CO,UnitedStates",Entertainment,$23.40 B,Liberty Broadband Corporation,LBRDK
724,,Taiwan,,,"Kaohsiung,Taiwan",Specialty Chemicals,$23.42 B,Formosa Plastics Corp,1301
725, Mr. David Gerard Hutchens,Canada," 9,095",,"St.John's,NF,Canada",UtilitiesâRegulated Electric,$23.43 B,Fortis Inc.,FTS
726, Mr. Jay D. Farner,United States," 26,000", 1985,"Detroit,MI,UnitedStates",Mortgage Finance,$23.44 B,"Rocket Companies, Inc.",RKT
