"IPO Year","Number of Employees","Country","CEO","Founded Year","Market Value","Name"
"","43,397",Hong Kong,"",1999,23.39 Billion USD,CHINA MENGNIU DAIRY COMPANY
"","40,000",USA,Jeff Miller,1919,23.29 Billion USD,HALLIBURTON COMPANY
2016,"5,300",China,"",2010,23.27 Billion USD,BEIGENE
"","10,000",China,"",2018,23.23 Billion USD,JD HEALTH INTERNATIONAL INC
"","10,300",USA,Jerry Norcia,1903,23.19 Billion USD,DTE ENERGY COMPANY
"","15,000",Kuwait,Abdulwahab Iesa Alrushood,1977,23.13 Billion USD,KUWAIT FINANCE HOUSE
2014,"17,463",USA,"",1828,23.11 Billion USD,CITIZENS FINANCIAL GROUP
"","20,465",Germany,Vincent Warnery,1882,23.06 Billion USD,BEIERSDORF
"","22,965",USA,Robert M. Bakish,2005,23.06 Billion USD,VIACOM CBS
"","14,000",UAE,Shayne Nelson,2007,23.04 Billion USD,EMIRATES NBD
"","14,508",Switzerland,Arnd Kaldowski,1947,23.02 Billion USD,SONOVA HOLDING AG
"","45,361",China,"",2002,23.01 Billion USD,WEICHAI POWER
"","58,000",Hong Kong,"",1950,23.01 Billion USD,CK ASSET HOLDINGS
"","8,200",Japan,Hisashi Ietsugu,1968,23.01 Billion USD,SYSMEX CORPORATION
"","38,247",Indonesia,"",1998,23.01 Billion USD,PT BANK MANDIRI (PERSERO) TBK
"","72,584",China,"",1985,22.98 Billion USD,ZTE CORPORATION
"","16,000",Canada,Charles Brindamour,1809,22.97 Billion USD,INTACT FINANCIAL CORPORATION
2016,"",China,"",2002,22.97 Billion USD,ZTO EXPRESS (CAYMAN)
"",340,USA,James (Jim) Connor,1972,22.93 Billion USD,DUKE REALTY CORPORATION
"","15,000",USA,Prahlad Singh,1937,22.92 Billion USD,PERKINELMER
"","15,198",China,"",1992,22.91 Billion USD,GUOTAI JUNAN SECURITIES
"","157,288",Philippines,Frederic DyBuncio,1958,22.82 Billion USD,SM INVESTMENTS CORPORATION
"","17,373",Sweden,Jens Henriksson,1997,22.82 Billion USD,SWEDBANK AB (PUBL)
"","10,516",China,"",1990,22.81 Billion USD,HUATAI SECURITIES
"","17,569",USA,Rene F Jones,1856,22.77 Billion USD,M&T BANK CORPORATION
1993,"5,961",USA,Gary A. Shiffman,1975,22.76 Billion USD,SUN COMMUNITIES
"","9,116",USA,Warner L Baxter,1997,22.73 Billion USD,AMEREN CORPORATION
"","31,000",USA,Steve Cahillane,1906,22.72 Billion USD,KELLOGG COMPANY
"","54,000",USA,Lorenzo Simonelli,1907,22.72 Billion USD,BAKER HUGHES COMPANY
"","5,607",USA,Vincent Sorgi,1920,22.71 Billion USD,PPL CORPORATION
"","29,900",Canada,"",1925,22.68 Billion USD,POWER CORPORATION OF CANADA
"","49,233",South Africa,Alan Pullinger,1998,22.66 Billion USD,FIRSTRAND
"","22,000",Hong Kong,Francis Lui,1988,22.55 Billion USD,GALAXY ENTERTAINMENT GROUP
"","46,000",Sweden,Magnus Groth,2017,22.55 Billion USD,ESSITY AB (PUBL)
"","12,369",USA,Leo P. Denault,1913,22.54 Billion USD,ENTERGY CORPORATION
"","15,000",USA,Paul Reilly,1962,22.49 Billion USD,RAYMOND JAMES FINANCIAL
1994,"1,757",USA,Michael J Schall,1971,22.41 Billion USD,ESSEX PROPERTY TRUST
"","14,068",China,"",2003,22.40 Billion USD,SHANGHAI INTERNATIONAL PORT (GROUP)
"","6,825",USA,"","","",EPIC Games
2021,"1,641",USA,Max Levchin,2012,22.37 Billion USD,"AFFIRM HOLDINGS, INC."
1998,"37,960",Ireland,Steve Cutler,1990,22.37 Billion USD,ICON PUBLIC COMPANY
"","13,500",USA,Michael Stubblefield,2017,22.31 Billion USD,AVANTOR
"","290,000",China,"",2007,22.30 Billion USD,CHINA RAILWAY GROUP
"","78,490",Japan,"",1959,22.29 Billion USD,KYOCERA CORPORATION
2004,"14,000",USA,"",1985,16.90 Billion USD,WELLCARE HEALTH PLANS
"","71,812",Japan,Tetsuro Tomita,1987,22.27 Billion USD,EAST JAPAN RAILWAY COMPANY
"","1,395",Ireland,Timothy P Walbert,2005,22.27 Billion USD,HORIZON THERAPEUTICS PUBLIC COMPANY
"","6,147",Saudi Arabia,Tareq A. Al-Sadhan,1957,22.20 Billion USD,RIYAD BANK
2004,"1,854",USA,Joseph J. DePaolo,2001,22.17 Billion USD,SIGNATURE BANK
2015,"60,400",USA,Antonio Neri,2015,22.16 Billion USD,HEWLETT PACKARD ENTERPRISE COMPANY
"","13,430",Japan,Shingo Konomoto,1965,22.12 Billion USD,NOMURA RESEARCH INSTITUTE
"","31,700",UK,Amanda Blanc,2000,22.11 Billion USD,AVIVA
"","9,000",USA,Linda Rendle,1913,22.10 Billion USD,THE CLOROX COMPANY
"","22,000",Sweden,Carina Akerstrom,1871,22.07 Billion USD,SVENSKA HANDELSBANKEN AB (PUBL)
"","128,000",UK,George G. Weston,1935,22.07 Billion USD,ASSOCIATED BRITISH FOODS
"","125,236",India,C. P. Gurnani,1986,22.06 Billion USD,TECH MAHINDRA
2012,870,USA,Travis D. Stice,2007,22.02 Billion USD,DIAMONDBACK ENERGY
2016,"8,961",Canada,Ashutosh Raghuvanshi,1987,22.01 Billion USD,FORTIS
"","9,230",China,"",1991,22.00 Billion USD,CHINA MERCHANTS SECURITIES
"","236,386",Germany,"",1871,21.98 Billion USD,CONTINENTAL AG
"","20,000",Russia,Pavel Sergeevich Grachev,1921,21.98 Billion USD,PJSC POLYUS
"","39,035",Japan,Masahiko Uotani,1872,21.97 Billion USD,SHISEIDO COMPANY
"","18,000",Norway,Sigve Brekke,1855,21.97 Billion USD,TELENOR ASA
"",355,UK,"",1920,21.95 Billion USD,SEGRO
"","18,515",Spain,Ignacio Madridejos Fernandez,1952,21.93 Billion USD,FERROVIAL
"","6,527",Denmark,Ester Baiget,2000,21.91 Billion USD,NOVOZYMES A/S
"","33,342",Brazil,Harry Schmelzer Jr.,1961,21.89 Billion USD,WEG
