address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"Suite 2800, 500 West Madison Street, Chicago, Illinois, 60661",United States of America,Automotive,$15.0B,LKQ Corp,"46,000",$13.1B,1 312 6211950,www.lkqcorp.com
"2-16-1, Kyobashi, Chuo-Ku, Tokyo, 104-8370",Japan,Construction,$4.2B,Shimizu Corp,"19,661",$13.2B,81 3 35611111,www.shimz.co.jp
"2500 Lake Cook Rd, Riverwoods, Illinois, 60015-3851",United States of America,Financial Services,$28.0B,Discover Financial Services,"16,700",$13.2B,1 224 4050900,www.discover.com
"800 South Street, Suite 500, P.O. Box 9161, Waltham, Massachusetts, 02454",United States of America,Energy and Utilities,$1.1B,Global Partners LP,"3,490",$13.2B,1 980 2213235,www.globalp.com
"Sonderhoj 14, Vibyj, 8260",Denmark,Consumer Packaged Goods,,Arla Foods amba,"20,617",$13.2B,45 89 381000,www.arla.com
"233 S Patterson Ave, Springfield, Missouri, 65802",United States of America,Automotive,$50.4B,O'Reilly Automotive Inc,"68,679",$13.3B,1 417 8295878,corporate.oreillyauto.com/corporate
"Huaxi Industrial Function Zone, Changxing County, Huzhou",Hong Kong,Automotive,$1.6B,Tianneng Power International Ltd,"26,921",$13.3B,852  28771398,www.tianneng.com.hk
"29/F, Tower2, Kowloon Commerce, Centre, 51, Kwai Cheong Road, Kwai Chung, New Territories, Hong Kong",Hong Kong,Industrial Goods and Machinery,$24.5B,Techtronic Industries Co Ltd,"47,568",$13.2B,852  24026888,www.ttigroup.com
"No.1, Li-Hsin Road 2, Hsinchu Science Park, 300",Taiwan,Technology and Communications,$4.0B,AUO Corp,"45,772",$13.3B,886 35 008800,auo.com
"Presnenskaya Naberezhnaya, D. 4, Str. 2, Moscow, 123112",Russia,Energy and Utilities,$2.0B,AK Transneft,"115,900",$13.3B,7 495 9508170,www.transneft.ru
"2-9, Kanda Tsukasa-Machi, Chiyoda-Ku, Tokyo, 101-0048",Japan,Pharmaceuticals and Healthcare,$18.2B,Otsuka Holdings Co Ltd,"33,226",$13.3B,81 3 67171410,www.otsuka.com/jp
"1080 Grande Allee W, Station Terminus, Quebec, G1K7M3",Canada,Financial Services,$6.3B,iA Financial Corp Inc,"8,300",$13.3B,1 418 6845000,ia.ca/investorrelations
"1-14-5, Kaigan, Minato-ku, Tokyo, 105-8315",Japan,Industrial Goods and Machinery,$3.8B,Kawasaki Heavy Industries Ltd,"36,587",$13.4B,81 33 4352111,www.khi.co.jp
"Tyopajankatu 12, Helsinki, 00580",Finland,Retailing,$9.1B,Kesko Corp,"17,785",$13.4B,358 10 5311,www.kesko.fi
"7301 Parkway Drive South, Hanover, Maryland, 21076",United States of America,Business and Consumer Services,,Allegis Group Inc,,$13.4B,80 092 78090,www.allegisgroup.com
"Macacha Guemes 515, Buenos Aires, C1106BKK",Argentina,Energy and Utilities,$8.6B,YPF SA,"22,032",$13.4B,54 11 54411276,www.ypf.com
"414 Nicollet Mall, Minneapolis, Minnesota, 55401",United States of America,Alternative Energy,$37.6B,Xcel Energy Inc,"11,321",$13.4B,1 612 3305500,www.xcelenergy.com
"Universitaetsstrasse 133, Bochum, 44803",Germany,Construction,$23.3B,Vonovia SE,"15,845",$13.4B,49 234 3140,www.vonovia.de
"7th Floor, 510 West Georgia Street, Vancouver, British Columbia, V6B0M3",Canada,Technology and Communications,$30.0B,Telus Corp,"90,800",$13.4B,1 604 6978044,www.telus.com
"1099 Ameriprise Financial Center, Minneapolis, Minnesota, 55474",United States of America,Financial Services,$34.9B,Ameriprise Financial Inc,"12,000",$13.4B,1 612 6718001,www.ameriprise.com
"Suite 500, 800 Gessner, Houston, Texas, 77024",United States of America,Automotive,$2.8B,Group 1 Automotive Inc,"13,711",$13.5B,1 713 6475700,www.group1auto.com
"Brienner Strasse 18, Munich, Bayern, 80333",Germany,Financial Services,,Bayerische Landesbank,"8,481",$13.5B,49 89 217101,www.bayernlb.com
"2 Portman Street, London, W1H6DU",United Kingdom,Metals and Mining,$1.6B,Evraz Plc,"71,591",$13.5B,7 495 3631963,www.evraz.com
"Professor Kohts Vei 9, Lysaker, 1366",Norway,Financial Services,$4.1B,Storebrand ASA,"1,901",$13.5B,47 2 2315050,www.storebrand.no
"Rua Dr. Renato Paes De Barros, 1.017, 4 Andar, Itaim Bibi, Sao Paulo, 04.530-001",Brazil,Consumer Packaged Goods,$41.8B,Ambev SA,"53,000",$13.5B,55 19 33135680,www.ambev.com.br
"Rue De Ransbeek 310, Bruxelles, 1120",Belgium,Chemicals,$11.9B,Solvay SA,"21,000",$13.5B,32 2 2642111,www.solvay.com/en
"75, Yulgok-Ro, Jongno-Gu, Seoul, 03058",South Korea,Transport and Logistics,$4.3B,Korea Shipbuilding & Offshore Engineering Co Ltd,"27,409",$13.5B,82 52 2022114,www.ksoe.co.kr
"2 Strand Road, Bellville, 7530",South Africa,Financial Services,$7.1B,Sanlam Ltd,"21,180",$13.5B,27 21 9479111,www.sanlam.co.za
"C/ Trigo, 39. Poligono Industrial Polvoranca, Leganes, Madrid, 28914",Spain,Transport and Logistics,$3.4B,Compania de Distribucion Integral Logista Holdings SA,"5,511",$13.6B,34 914 819800,www.logista.com/en
"Netease Building, No. 599 Wangshang Road, Binjiang District, Hangzhou, Zhejiang, 310052",China,Technology and Communications,$58.1B,NetEase Inc,"32,064",$13.6B,86 571 89853378,ir.netease.com
"SE-151 87 Sodertalje, Stockholm, 15187",Sweden,Automotive,,Scania AB,"54,000",$13.6B,46  855381000,www.scania.com
"81, Namdaemun-Ro, Jung-Gu, Seoul, 04533",South Korea,Retailing,$2.3B,Lotte Shopping Co Ltd,"26,030",$13.6B,82 2 7712500,www.lotteshoppingir.com
"Ul. Bol'shaya Pirogovskaya, D.27, Str.2, Moscow, Moscow Oblast, 119435",Russia,Power,$5.3B,Inter RAO UES,"46,900",$13.6B,7 495 6648840,www.interrao.ru
"Corso Di Porta Vittoria, 4, Milan, Lombardia, 20122",Italy,Power,$4.8B,A2A SpA,"13,511",$13.7B,39 030 35531,www.a2a.eu/it
"No.255, Jiangchang Er Road, Jing'An District, Shanghai, 200436",China,Retailing,$3.8B,Sun Art Retail Group Ltd,"122,010",$13.7B,852  29801888,www.sunartretail.com
"Aleja Krasnicka 27, Lublin, 20-718",Poland,Power,$3.7B,PGE Polska Grupa Energetyczna SA,"38,001",$13.7B,48 22 3401177,www.gkpge.pl
"Suites 801-2, 8th Floor, Top Glory Tower, 262 Gloucester Road,Causeway Bay, Hong Kong",Hong Kong,Consumer Packaged Goods,$18.6B,China Mengniu Dairy Co Ltd,"44,277",$13.7B,852  21809050,www.mengniuir.com
"4 Irving Place, New York, 10003",United States of America,Power,$33.1B,Consolidated Edison Inc,"13,871",$13.7B,1 212 4604600,www.conedison.com
"4 Copley Place, Boston, Massachusetts, 02116",United States of America,Retailing,$4.4B,Wayfair Inc,"16,681",$13.7B,1 617 5326100,www.wayfair.com
"1750 Presidents Street, Reston, Virginia, 20190",United States of America,Aerospace and Defense,$13.1B,Leidos Holdings Inc,"43,000",$13.7B,1 571 5266000,www.leidos.com
"Shinjuku Center Bldg., 1-25-1, Nishi-Shinjuku, Shinjuku-Ku, Tokyo, 163-0606",Japan,Construction,$6.5B,Taisei Corp,"14,518",$13.7B,81 3 33481111,www.taisei.co.jp
"Halk Bankasi A.S., Istanbul, 34746",Turkey,Financial Services,$3.2B,Turkiye Halk Bankasi AS,"14,971",$13.7B,90 216 5037070,www.halkbank.com.tr
"Rue Hans-Liebherr, 7, Bulle, Freiburg, 1630",Switzerland,Construction,,Liebherr-International AG,"49,611",$13.8B,41 26 9133111,www.liebherr.com
"1-3-3, Suido, Bunkyo-Ku, Tokyo, 112-8531",Japan,Media,$5.2B,Toppan Inc,"54,336",$13.8B,81 3 38355111,www.toppan.co.jp
"Dufourstasse 40, St. Gallen, 9001",Switzerland,Financial Services,$6.5B,Helvetia Group,"12,128",$13.8B,41 58 2801000,www.helvetia.com
"No.3001, Bao He Road, Baolong, Longgang, Shenzhen, Guangdong, 518116",China,Technology and Communications,$7.6B,BYD Electronic (International) Co Ltd,"96,000",$13.8B,86 852 21366185,www.byd-electronics.com
"1000 West Maude, Sunnyvale, California, 94085",United States of America,Business and Consumer Services,,LinkedIn Corp,"15,900",$13.8B,1 650 6873600,www.linkedin.com
"9200 W. 108th Circle, Westminster, Colorado, 80021",United States of America,Paper and Packaging,$17.8B,Ball Corp,"24,300",$13.8B,1 212 5274000,www.ball.com
"No. 48, Jinyi Road, Jinshan District, Shanghai, 200540",China,Chemicals,$4.1B,Sinopec Shanghai Petrochemical Co Ltd,"8,039",$13.8B,86 21 57943143,www.spc.com.cn
"Malaya Ordynka, 15, Moscow, 119017",Russia,Power,,Rosseti,,$13.9B,7 495 7479292,www.mrsk-1.ru/en/
"7750 Wisconsin Avenue, Bethesda, Maryland, 20814",United States of America,Leisure and Arts,$50.6B,Marriott International Inc,"120,000",$13.9B,1 301 3803000,www.marriott.com
"4820 Emperor Blvd, Durham, North Carolina, 27703",United States of America,Business and Consumer Services,$41.0B,IQVIA Holdings Inc,"83,000",$13.9B,1 919 9982000,ir.iqvia.com
"347 Riverside Avenue, Jacksonville, Florida, 32202",United States of America,Financial Services,$41.3B,Fidelity National Information Services Inc,"65,000",$13.9B,1 407 5518315,www.fisglobal.com
"133 Avenue Des Champs-Elysees, Paris, Ile-de-France, 75008",France,Media,$17.1B,Publicis Groupe SA,"95,801",$13.9B,33 1 44437000,www.publicisgroupe.com
"135 Hao 8, 12, 13 Ji 18 Lou, Song Shan Qu Dun Hua Bei Lu, Songshan District, Taipei, 105",Taiwan,Financial Services,$7.8B,China Development Financial Holding Corp,"13,197",$13.9B,886 2 27638800,www.cdfholding.com
"4500 San Pablo Road, Jacksonville, Florida, 32224",United States of America,Pharmaceuticals and Healthcare,,Mayo Clinic,"73,000",$13.9B,1 904 9532000,www.mayoclinic.org
"Hamnbanegatan 5, Helsinki, 00020",Finland,Financial Services,$42.0B,Nordea Bank Abp,"27,649",$13.9B,358 2 0070000,www.nordea.fi
"3350 Peachtree Road Northeast, Suite 150, Atlanta, Georgia, 30326",United States of America,Construction,$11.6B,PulteGroup Inc,"6,182",$13.9B,1 404 9786400,www.pultegroupinc.com
"Kioi Tower, 1-3, Kioi-Cho, Chiyoda-Ku, Tokyo, 102-8282",Japan,Technology and Communications,$22.0B,Z Holdings Corp,"23,705",$14.0B,81 3 67794900,www.z-holdings.co.jp
"1 Portal Way, London, W36RS",United Kingdom,Retailing,$934.1M,Currys plc,"31,717",$13.9B,44 20 88965000,www.currysplc.com
"Rooms 4702-4703, 47f, Office Tower, Convention Plaza, 1 Harbour Rd, Wanchai, Hong Kong",Hong Kong,Construction,$3.0B,China Jinmao Holdings Group Ltd,"12,825",$14.0B,852  28299668,www.chinajinmao.cn
"1211 Avenue Of The Americas, New York, 10036-8701",United States of America,Media,$16.6B,Fox Corp,"10,600",$14.0B,1 212 8527000,www.foxcorporation.com
"120 Tredegar St, Richmond, Virginia, 23219-4306",United States of America,Power,$51.5B,Dominion Energy Inc,"17,100",$14.0B,1 804 8192000,www.dominionenergy.com
"Ispat Bhawan, Lodi Road, New Delhi, 110003",India,Metals and Mining,$4.6B,Steel Authority of India Ltd,"62,181",$14.0B,91 11 24367481,www.sail.co.in
"12300 Liberty Boulevard, Englewood, Colorado, 80112",United States of America,Retailing,$754.2M,Qurate Retail Inc,"26,659",$14.0B,1 720 8755300,www.qurateretail.com
"24f, Shinagawa East One Tower, 2-16-1, Konan, Minato-Ku, Tokyo, 108-8211",Japan,Construction,$7.5B,Daito Trust Construction Co Ltd,"17,650",$14.1B,81 3 67189111,www.kentaku.co.jp
"750 West Virginia Street, Milwaukee, Wisconsin, 53204",United States of America,Pharmaceuticals and Healthcare,,Advocate Aurora Health Inc,"38,479",$14.1B,1 630 9296914,www.advocateaurorahealth.org
"One Riverfront Plaza, Corning, New York, 14831",United States of America,Technology and Communications,$30.4B,Corning Inc,"61,200",$14.1B,1 607 9749000,www.corning.com
"700 Universe Boulevard, Juno Beach, Florida, 33408",United States of America,Power,,Florida Power & Light Co,"9,700",$14.1B,1 561 6944000,www.fpl.com
"3 Dublin Landings, North Wall Quay, D01 H104",Ireland,Automotive,$4.0B,Adient Plc,"75,000",$14.1B,35345241200,www.adient.com
"16100 N. 71st Street, Suite 400, Scottsdale, Arizona, 85254",United States of America,Metals and Mining,$12.4B,Reliance Steel & Aluminum Co,"13,700",$14.1B,1 213 6877700,www.rsac.com
"Ul. Oktyabr'skaya, D.8, Ofis 34, Kaliningrad, 236006",Russia,Metals and Mining,$3.9B,En+ Group plc,,$14.1B,7 401 2697436,www.enplusgroup.com
"4-1-2, Hirano-Machi, Chuo-Ku, Osaka-Shi, 541-0046",Japan,Energy and Utilities,$6.6B,Osaka Gas Co Ltd,"20,961",$14.1B,81 6 62054537,www.osakagas.co.jp
"No. 345, Ningdong Road, Yinzhou District, Ningbo, Zhejiang, 315042",China,Financial Services,$32.9B,Bank of Ningbo Co Ltd,"24,177",$14.1B,86 574 87050028,www.nbcb.com.cn
"68, Kamitoba Tsunoda-Cho, Minami-Ku, Kyoto-Shi, 601-8104",Japan,Transport and Logistics,$9.3B,SG Holdings Co Ltd,"52,325",$14.1B,81 75 6938850,www.sg-hldgs.co.jp
"170/175 Lakeview Drive, Airside Business Park, Swords, 00000",Ireland,Industrial Goods and Machinery,$40.0B,Trane Technologies Plc,"37,000",$14.1B,353 1 8707400,www.tranetechnologies.com
"700 University Avenue, Suite 1500-A (Legal), Toronto, Ontario, M5G0A1",Canada,Financial Services,$25.8B,Intact Financial Corp,"26,000",$14.1B,1 416 3411464,www.intactfc.com
"York House, 45 Seymour Street, London, W1H 7JT",United Kingdom,Wholesale,$12.3B,Bunzl plc,"21,021",$14.1B,442077255000,www.bunzl.com
"PO Box 3599, One Kellogg Square, Battle Creek, Michigan, 49016",United States of America,Consumer Packaged Goods,$23.0B,Kellogg Co,"31,000",$14.2B,1 269 9612000,www.kelloggcompany.com/en_US/home.html
"Gustav Mahlerlaan 10, Amsterdam, 1082PP",Netherlands,Financial Services,$7.1B,ABN AMRO Bank NV,"20,079",$14.2B,31 20 6282282,www.abnamro.com
"1-13-1 Nihonbash, Chuo-ku, Tokyo, 103-8645",Japan,Financial Services,$12.9B,Nomura Holdings Inc,"26,585",$14.2B,81 3 52551000,www.nomuraholdings.com
"Klarabergsviadukten 63, Stockholm, 11164",Sweden,Consumer Packaged Goods,$19.4B,Essity AB,"46,275",$14.2B,46 8 788514646,www.essity.com
"711 High St, Des Moines, Iowa, 50392-0300",United States of America,Financial Services,$21.4B,Principal Financial Group Inc,"18,600",$14.3B,1 515 2475111,www.principal.com
"L 11 120 Collins St, Melbourne, Victoria, 3000",Australia,Metals and Mining,$6.0B,BlueScope Steel Ltd,"17,063",$14.3B,61 3 96664000,www.bluescope.com
"280 Park Avenue, New York, 10022",United States of America,Media,$16.8B,Omnicom Group Inc,"71,700",$14.3B,1 212 4153672,www.omnicomgroup.com
"One Carrier Place, Farmington, Connecticut, 06032",United States of America,Industrial Goods and Machinery,$34.1B,Otis Worldwide Corp,"70,000",$14.3B,1 860 6743000,www.otis.com
"1 Angel Square, Manchester, M600AG",United Kingdom,Retailing,,Co-operative Group Ltd,,$14.3B,44 161 8341212,www.coop.co.uk
"18f, Shiodome City Center, 1-5-2, Higashi-Shimbashi, Minato-Ku, Tokyo, 105-7122",Japan,Chemicals,$4.7B,Mitsui Chemicals Inc,"18,780",$14.4B,81 3 62532100,www.mitsuichem.com
"1-1, Sakae-Cho, Takasaki-Shi, 370-0841",Japan,Retailing,$3.5B,Yamada Holdings Co Ltd,"22,951",$14.4B,81 27 3458181,www.yamada-denki.jp
"Al Cornish St, P.O. Box 1000, Doha",Qatar,Financial Services,$43.1B,Qatar National Bank,"27,381",$14.4B,974  44407407,www.qnb.com
"Building A, Enn Industrial Park, Xinyuan Dong Road,Eco And Tech Dmnt Zone, Langfang, Hebei, 065001",China,Energy and Utilities,$18.1B,ENN Energy Holdings Ltd,"35,598",$14.4B,86 316 2598100,www.ennenergy.com
"155 Harlem Ave, 3600 West Lake Ave, Glenview, Illinois, 60026-1215",United States of America,Industrial Goods and Machinery,$70.0B,Illinois Tool Works Inc,"45,000",$14.5B,1 847 6574204,www.itw.com
"Sinotruk Tower, No. 777 Hua'Ao Road, Innovation Zone, Ji'Nan, Shandong , 250101",China,Automotive,$4.7B,Sinotruk (Hong Kong) Ltd,"26,849",$14.5B,86 531 58062545,www.sinotruk.com
"6205-A Peachtree Dunwoody Road NE, Atlanta, Georgia, 30328",United States of America,Media,,Cox Enterprises Inc,"50,000",$14.5B,1 678 6450000,www.coxenterprises.com
"101 Oakley St, Po Box 959, Evansville, Indiana, 47710-1237",United States of America,Paper and Packaging,$7.3B,Berry Global Group Inc,"47,000",$14.5B,1 812 4242904,www.berryglobal.com
"Marshalltown, Po Box 62179, Johannesburg, 2107",South Africa,Metals and Mining,$21.8B,Anglo American Platinum Ltd,"24,603",$14.5B,27 11 3736111,www.angloamericanplatinum.com
"Avenida Doutora Ruth Cardoso, 8.501,8 Andar, Pinheiros, Sao Paulo, 05.425-070",Brazil,Metals and Mining,$10.0B,Gerdau SA,"40,061",$14.5B,55 11 30946600,www.gerdau.com
"Avenida Doutora Ruth Cardoso, 8.501,8 Andar, Pinheiros, Sao Paulo, 05.425-070",Brazil,Metals and Mining,$2.8B,Metalurgica Gerdau SA,"45,000",$14.5B,55 11 30946300,www.gerdau.com/br/pt
"Etisalat Building, 1, Sheikh Rashid Bin Saeed Al Maktoum St, P.O. Box 3838, Abu Dhabi",United Arab Emirates,Technology and Communications,$61.1B,Emirates Telecommunications Group Co PJSC,,$14.5B,971 2 6283333,eand.com
"83 Tower Road North, Bristol, BS308XP",United Kingdom,Paper and Packaging,$17.7B,Amcor Plc,"37,000",$14.5B,44 117 9753200,www.amcor.com
"Avenida Ricardo Margáin Zozaya #325, Colonia Valle Del Campestre, San Pedro Garza Garcia, Nuevo Leon, 66265",Mexico,Construction,$7.5B,CEMEX SAB de CV,"43,864",$14.5B,52 81 88888888,www.cemex.com
"28/F, No. 533 Loushanguan Road, Shanghai, 200051",China,Retailing,$113.2B,Pinduoduo Inc,"9,762",$14.6B,86 21 52661300,www.pinduoduo.com
"Skt Tower, 65, Eulji-Ro, Jung-Gu, Seoul, 04539",South Korea,Technology and Communications,$8.4B,SK Telecom Co Ltd,"34,847",$14.6B,82 2 61002114,www.sktelecom.com
"4f, No. 75, Section 3, Ming Sheng East Road, Taipei, 104",Taiwan,Technology and Communications,$3.3B,Synnex Technology International Corp,"5,563",$14.6B,886 2 25063320,www.synnex-grp.com
"S:T Goransgatan 143, Stadshagen, Stockholm, 11217",Sweden,Consumer Packaged Goods,$4.3B,AB Electrolux,"51,746",$14.6B,46 8 7386000,www.electroluxgroup.com
"75/102 Ocean Tower 2, 37th Floor, Sukhumvit Soi 19, Bangkok, 10110",Thailand,Chemicals,$7.2B,Indorama Ventures PCL,"25,760",$14.7B,66 26 616661,www.indoramaventures.com
"Meierhofstrasse 5, Emmen, 6032",Switzerland,Technology and Communications,$2.6B,ALSO Holding AG,"4,166",$14.7B,41 41 2661800,www.also.com
"Floor 14-18, Energy Complex, Building A, 555/1 Wiphawadirangsit Road, Chatuchak, Bangkok, 10900",Thailand,Chemicals,$7.0B,PTT Global Chemical Public Co Ltd,"10,819",$14.7B,66 22 658400,www.pttgcgroup.com
"667 Madison Ave, New York, 10065-8087",United States of America,Financial Services,$13.9B,Loews Corp,"10,340",$14.7B,1 212 5212000,www.loews.com
"Grant Way, Isleworth, Middlesex, TW75QD",United Kingdom,Media,,Sky Ltd,"34,677",$14.7B,44 333 1000333,www.skygroup.sky
"No.201, Tung Hwa North Road, Songshan Di, Taipei, 105",Taiwan,Chemicals,$19.7B,Nan Ya Plastics Corp,"34,224",$14.7B,886 22 7122211,www.npc.com.tw
"Campos Eliseos No. 400, Col. Lomas De Chapultepec, Mexico, D.F., 11000",Mexico,Metals and Mining,$33.4B,Grupo Mexico SAB de CV,"29,995",$14.8B,52 55 11035000,www.gmexico.com
"1770 Promontory Circle, Greeley, Colorado, 80634",United States of America,Consumer Packaged Goods,$6.0B,Pilgrim's Pride Corp,"61,800",$14.8B,1 970 5068000,www.pilgrims.com
"1617 6th Ave, Seattle, Washington, 98101-1707",United States of America,Retailing,$2.8B,Nordstrom Inc,"60,000",$14.8B,1 206 6282111,investor.nordstrom.com
"Havenlaan 2, Bruxelles, 1080",Belgium,Financial Services,$30.9B,KBC Group NV,"37,194",$14.8B,32 2 4294051,www.kbc.com
"1 Pickering Street, #01-01 Great Eastern Centre, Singapore, 048659",Singapore,Financial Services,$6.6B,Great Eastern Holdings Ltd,"4,726",$14.8B,65 6 2482888,www.greateasternlife.com
"Commonwealth Bank Building Sav, 50 Martin Pl, Sydney, New South Wales, 2000",Australia,Financial Services,$49.0B,Macquarie Group Ltd,"18,133",$14.8B,61 2 122311000,www.macquarie.com/au/en.html
"P.O. Box 800, 2244 Walnut Grove Avenue, Rosemead, California, 91770",United States of America,Power,,Southern California Edison Co,"12,715",$14.9B,1 636 3021212,www.sce.com
"2nd Floor, Regional Sales Office Wb, 15 Park St, Kolkata, 700156",India,Metals and Mining,$16.4B,Coal India Ltd,"248,550",$14.9B,91 33 23246526,www.coalindia.in
"3850 Hamlin Rd, Auburn Hills, Michigan, 48326-2872",United States of America,Automotive,$10.3B,BorgWarner Inc,"49,300",$14.8B,1 248 7549200,www.borgwarner.com
"Ul. Grigoriya Kukuyevitskogo, 1, Korpus 1, Surgut, 628415",Russia,Energy and Utilities,$14.5B,Surgutneftegas,"113,000",$14.9B,7 346 2426133,www.surgutneftegas.ru
"2244 Walnut Grove Ave, Po Box 800, Rosemead, California, 91770",United States of America,Power,$25.5B,Edison International,"13,003",$14.9B,1 626 3022222,www.edison.com
"171 Victoria Street, London, England, SW1E5NN",United Kingdom,Retailing,,John Lewis Partnership Plc,"78,600",$14.9B,44 0345 6100344,www.johnlewispartnership.co.uk
"Kolonnvagen 20, Solna, Stockholm, 16971",Sweden,Retailing,,ICA Gruppen AB,"24,043",$14.9B,46 8 56150000,www.icagruppen.se
"1999 Bryan Street, Suite 1200, Dallas, Texas, 75201",United States of America,Technology and Communications,$15.4B,Jacobs Solutions Inc,"55,000",$14.9B,1 214 5838500,www.jacobs.com
"Waterside House, 35 North Wharf Road, London, W21NW",United Kingdom,Retailing,$3.7B,Marks and Spencer Group plc,"66,210",$15.0B,44 20 79354422,corporate.marksandspencer.com
"One Energy Plaza, Detroit, Michigan, 48226",United States of America,Power,$22.1B,DTE Energy Co,"10,300",$15.0B,1 313 2354000,www.newlook.dteenergy.com
"Rakuten Crimson House, 1-14-1, Tamagawa, Setagaya-Ku, Tokyo, 158-0094",Japan,Retailing,$7.8B,Rakuten Group Inc,"28,261",$15.0B,81 50 55816910,corp.rakuten.co.jp
"Manuel Rodriguez Norte 730, Santiago",Chile,Retailing,$5.6B,Falabella SA,"91,744",$15.0B,56 2 23802000,investors.falabella.com/Spanish/inicio/default.asp
"66 Section 1, Chung-Hsiao West Road, Taipei, 100",Taiwan,Financial Services,$4.9B,Shin Kong Financial Holding Co Ltd,"17,470",$15.0B,886 2 23895858,www.skfh.com.tw
"Via Chiese 6, Milano, 20126",Italy,Power,$10.7B,Prysmian SpA,"30,862",$15.1B,39 02 64491,www.prysmiangroup.com
"11011 Maurice-Duplessis Boulevard, Montreal, Quebec, H1C1V6",Canada,Retailing,$12.9B,Metro Inc,"90,000",$15.1B,1 514 6431000,www.metro.ca/en
"Citic Special Steel Building, No. 1 Changshan Avenue, Jiangyin, Wuxi, Jiangsu, 435001",China,Metals and Mining,$13.5B,CITIC Pacific Special Steel Group Co Ltd,"23,238",$15.1B,86 510 80673288,www.citicsteel.com
"11-1, Kamitoba, Hokotate-Cho, Minami-Ku, Kyoto-Shi, 601-8501",Japan,Technology and Communications,$56.8B,Nintendo Co Ltd,"6,717",$15.1B,81 75 6629600,www.nintendo.co.jp
"79, Eulji-Ro, Jung-Gu, Seoul, 04541",South Korea,Financial Services,$6.8B,Industrial Bank of Korea,"12,603",$15.2B,82 2 7296114,www.ibk.co.kr
"1f, Shin-Marunouchi Bldg., 1-5-1, Marunouchi, Chiyoda-Ku, Tokyo, 100-8405",Japan,Consumer Packaged Goods,$8.1B,AGC Inc,"55,999",$15.1B,81 3 32185741,www.agc.com
"Ave. Gomez Morin 1111 Sur, Col. Carrizalejo, San Pedro Garza Garcia, 66254",Mexico,Chemicals,$3.6B,Alfa SAB de CV,"53,760",$15.2B,52 81 87481111,www.alfa.com.mx
"27f, 29f, No.168 Jingmao 2nd Road, Nangang District, Taipei, 115",Taiwan,Financial Services,$16.0B,CTBC Financial Holding Co Ltd,"22,968",$15.2B,886 2 33277777,www.ctbcholding.com
"3000 North Sam Houston Parkway East, 3000 North Sam Houston Parkway East, Texas, 77032",United States of America,Energy and Utilities,$36.9B,Halliburton Co,"40,000",$15.3B,1 281 8712699,www.halliburton.com/en-US/default.html
"233 South Wacker Drive, Chicago, Illinois, 60606",United States of America,Transport and Logistics,,United Airlines Inc,"74,400",$15.4B,1 872 8254000,www.united.com
"Kaiserplatz 16, Frankfurt Am Main, 60311",Germany,Financial Services,$13.4B,Commerzbank AG,"38,465",$15.3B,49 69 13620,www.commerzbank.de
"Rue Du Marquis 1 Boite 7, Bruxelles, 1000",Belgium,Financial Services,$9.0B,Ageas NV,"10,101",$15.4B,32 2 5575711,www.ageas.com
"32nd Floor, Jindi Center, No. 2007, Shennan Avenue, Gangxia Community, Shenzhen, Guangdong, 518026",China,Construction,$6.6B,Gemdale Corp,"47,985",$15.4B,86 755 82039509,en.gemdale.com
"Kings Place, 90 York Way, London, N19FX",United Kingdom,Aerospace and Defense,$11.2B,Rolls-Royce Holdings Plc,"44,000",$15.4B,44 20 72229020,www.rolls-royce.com/investors.aspx
"Hyundai Marine & Fire Insurance Bldg., 163, Sejong-Daero, Jongno-Gu, Seoul, 03183",South Korea,Financial Services,$2.3B,Hyundai Marine & Fire Insurance Co Ltd,"3,208",$15.4B,82 2 15885656,www.hi.co.kr
"No.35 Mianxing East Road, High-Tech Zone, Mianyang, Sichuan, 621000",China,Consumer Packaged Goods,$1.9B,Sichuan Changhong Electric Co Ltd,"46,664",$15.4B,86 816 2418436,www.changhong.com
"Av. Kennedy 9001 Piso 7, Las Condes, 7561132",Chile,Retailing,$4.6B,Cencosud SA,"113,739",$15.5B,56 2 29590700,www.cencosud.com
"1290 Avenue Of The Americas, New York, 10104-0101",United States of America,Financial Services,$11.2B,Equitable Holdings Inc,"7,800",$15.5B,1 212 5541234,equitable.com
"2-1-82, Watanabe-Dori, Chuo-Ku, Fukuoka-Shi, 810-8720",Japan,Power,$2.6B,Kyushu Electric Power Co Inc,"21,226",$15.5B,81 92 7261564,www.kyuden.co.jp
"10f, Block A, Century Plaza, No.1 Hangda Road, Hangzhou, Zhejiang, 310007",China,Construction,$3.8B,Greentown China Holdings Ltd,"9,724",$15.5B,86 571 88988888,www.greentownchina.com
"1000 Stanley Dr, Po Box 7000, New Britain, Connecticut, 06053-1675",United States of America,Industrial Goods and Machinery,$13.0B,Stanley Black & Decker Inc,"71,300",$15.6B,1 860 2255111,www.stanleyblackanddecker.com
"5hq, 5 Hanover Quay, Dublin, D02VY79",Ireland,Automotive,$27.8B,Aptiv Plc,"155,000",$15.6B,353 1 2597013,www.aptiv.com
"Pso House, Khayaban-E-Iqbal, Clifton, Karachi, 75600",Pakistan,Energy and Utilities,$266.1M,Pakistan State Oil Co Ltd,"2,579",$15.6B,92 21 99203866,www.psopk.com
